endpoint,numeroItem
https://pncp.gov.br/api/pncp/v1/orgaos/01146604000103/compras/2024/113/itens,1
https://pncp.gov.br/api/pncp/v1/orgaos/01146604000103/compras/2024/113/itens,2
https://pncp.gov.br/api/pncp/v1/orgaos/01146604000103/compras/2024/113/itens,3
https://pncp.gov.br/api/pncp/v1/orgaos/01146604000103/compras/2024/113/itens,4
https://pncp.gov.br/api/pncp/v1/orgaos/01146604000103/compras/2024/113/itens,6
https://pncp.gov.br/api/pncp/v1/orgaos/01146604000103/compras/2024/113/itens,7
https://pncp.gov.br/api/pncp/v1/orgaos/01146604000103/compras/2024/113/itens,8
https://pncp.gov.br/api/pncp/v1/orgaos/18400945000166/compras/2024/39/itens,4
https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2024/2619/itens,1
https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2024/2619/itens,2
https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2024/2619/itens,4
https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2024/2619/itens,5
https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2024/2619/itens,6
https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2024/2619/itens,7
https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2024/2619/itens,8
https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2024/2619/itens,9
https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2024/2619/itens,10
https://pncp.gov.br/api/pncp/v1/orgaos/02585924000122/compras/2024/630/itens,3
https://pncp.gov.br/api/pncp/v1/orgaos/02585924000122/compras/2024/632/itens,7
https://pncp.gov.br/api/pncp/v1/orgaos/02585924000122/compras/2024/633/itens,7
https://pncp.gov.br/api/pncp/v1/orgaos/02585924000122/compras/2024/636/itens,4
https://pncp.gov.br/api/pncp/v1/orgaos/02585924000122/compras/2024/637/itens,6
https://pncp.gov.br/api/pncp/v1/orgaos/02585924000122/compras/2024/638/itens,8
https://pncp.gov.br/api/pncp/v1/orgaos/02585924000122/compras/2024/638/itens,9
https://pncp.gov.br/api/pncp/v1/orgaos/02585924000122/compras/2024/640/itens,5
https://pncp.gov.br/api/pncp/v1/orgaos/02585924000122/compras/2024/648/itens,7
https://pncp.gov.br/api/pncp/v1/orgaos/02585924000122/compras/2024/650/itens,3
https://pncp.gov.br/api/pncp/v1/orgaos/02585924000122/compras/2024/652/itens,5
https://pncp.gov.br/api/pncp/v1/orgaos/02585924000122/compras/2024/654/itens,10
https://pncp.gov.br/api/pncp/v1/orgaos/19843929000100/compras/2024/834/itens,1
https://pncp.gov.br/api/pncp/v1/orgaos/19843929000100/compras/2024/834/itens,2
