"lote","tamanho","inicio","fim","duracao"
1,1000,2025-03-27T19:36:08.285100Z,2025-03-27T19:46:17.100275Z,608.815175533295
2,1000,2025-03-27T19:46:17.178689Z,2025-03-27T19:56:27.951059Z,610.772369623184
3,1000,2025-03-27T19:56:28.007824Z,2025-03-27T20:06:33.168991Z,605.161167144775
4,1000,2025-03-27T20:06:33.226929Z,2025-03-27T20:16:37.389183Z,604.162253856659
5,1000,2025-03-27T20:16:37.428916Z,2025-03-27T20:26:43.277152Z,605.848236560822
6,1000,2025-03-27T20:26:43.361548Z,2025-03-27T20:36:47.996903Z,604.635355472565
7,1000,2025-03-27T20:36:48.152004Z,2025-03-27T20:46:55.858813Z,607.706809043884
8,1000,2025-03-27T20:46:55.921903Z,2025-03-27T20:56:49.319234Z,593.397330284119
9,1000,2025-03-27T20:56:49.355714Z,2025-03-27T21:06:49.025775Z,599.67006111145
10,1000,2025-03-27T21:06:49.064559Z,2025-03-27T21:16:48.290490Z,599.225931167603
11,1000,2025-03-27T21:16:48.328536Z,2025-03-27T21:26:48.397585Z,600.069049119949
12,1000,2025-03-27T21:26:48.432273Z,2025-03-27T21:36:49.838330Z,601.406056642532
13,1000,2025-03-27T21:36:49.889247Z,2025-03-27T21:47:06.610121Z,616.72087430954
14,1000,2025-03-27T21:47:06.694392Z,2025-03-27T21:57:01.271741Z,594.577349185944
15,1000,2025-03-27T21:57:01.319485Z,2025-03-27T22:06:58.846641Z,597.527155399323
16,1000,2025-03-27T22:06:58.889605Z,2025-03-27T22:17:00.652966Z,601.763360977173
17,1000,2025-03-27T22:17:00.698367Z,2025-03-27T22:27:00.375960Z,599.677593231201
18,1000,2025-03-27T22:27:00.416654Z,2025-03-27T22:36:59.770253Z,599.353599309921
19,1000,2025-03-27T22:36:59.811946Z,2025-03-27T22:46:55.738573Z,595.926627159119
20,1000,2025-03-27T22:46:55.788320Z,2025-03-27T22:56:49.437455Z,593.649135112763
21,1000,2025-03-27T22:56:49.480803Z,2025-03-27T23:06:47.709420Z,598.228616952896
22,1000,2025-03-27T23:06:47.748344Z,2025-03-27T23:16:45.402962Z,597.654617786407
23,1000,2025-03-27T23:16:45.441585Z,2025-03-27T23:26:42.314004Z,596.872418642044
24,1000,2025-03-27T23:26:42.353319Z,2025-03-27T23:36:39.717257Z,597.363937854767
25,1000,2025-03-27T23:36:39.756202Z,2025-03-27T23:46:33.120520Z,593.364317655563
26,1000,2025-03-27T23:46:33.163740Z,2025-03-27T23:56:26.788396Z,593.62465596199
27,1000,2025-03-27T23:56:26.828890Z,2025-03-28T00:06:27.279104Z,600.450214624405
28,1000,2025-03-28T00:06:27.327220Z,2025-03-28T00:16:25.857063Z,598.529842853546
29,1000,2025-03-28T00:16:25.898187Z,2025-03-28T00:26:28.437390Z,602.539202451706
30,1000,2025-03-28T00:26:28.485509Z,2025-03-28T00:36:28.805940Z,600.320430755615
31,1000,2025-03-28T00:36:28.848381Z,2025-03-28T00:46:21.636251Z,592.787870168686
32,1000,2025-03-28T00:46:21.676913Z,2025-03-28T00:56:14.033053Z,592.356139659882
33,1000,2025-03-28T00:56:14.085880Z,2025-03-28T01:06:11.728643Z,597.642762899399
34,1000,2025-03-28T01:06:11.765148Z,2025-03-28T01:16:09.079300Z,597.314151763916
35,1000,2025-03-28T01:16:09.116546Z,2025-03-28T01:26:06.084491Z,596.967945337296
36,1000,2025-03-28T01:26:06.123039Z,2025-03-28T01:36:04.200188Z,598.077148914337
37,1000,2025-03-28T01:36:04.239060Z,2025-03-28T01:46:04.169443Z,599.930383443832
38,1000,2025-03-28T01:46:04.223874Z,2025-03-28T01:55:59.243848Z,595.01997423172
39,1000,2025-03-28T01:55:59.293539Z,2025-03-28T02:05:56.555504Z,597.261964797974
40,1000,2025-03-28T02:05:56.593785Z,2025-03-28T02:15:54.864251Z,598.270466327667
41,1000,2025-03-28T02:15:54.904386Z,2025-03-28T02:25:52.370915Z,597.466529607773
42,1000,2025-03-28T02:25:52.405609Z,2025-03-28T02:35:49.506087Z,597.100477695465
43,1000,2025-03-28T02:35:49.542738Z,2025-03-28T02:45:46.000180Z,596.457442760468
44,1000,2025-03-28T02:45:46.039762Z,2025-03-28T02:55:41.044851Z,595.005088806152
