codigo_pdm,nome_pdm,codigo_br,nome_item
348,Cimetidina,354314,"354314 - Cimetidina, Concentração:400 MG"
348,Cimetidina,340167,"340167 - Cimetidina, Concentração:150 MG/ML, Forma Farmaceutica:Solução Injetável"
348,Cimetidina,267627,"267627 - Cimetidina, Dosagem:200 MG"
349,Ampicilina,448843,"448843 - Ampicilina, Concentração:50 MG/ML, Forma Farmaceutica:Suspensão Oral"
349,Ampicilina,442727,"442727 - Ampicilina, Concentração:500 MG, Forma Farmaceutica:Pó P/ Solução Injetável"
349,Ampicilina,442689,"442689 - Ampicilina, Composição:Associada Ao Sulbactam, Concentração:2 G + 1 G, Forma Farmaceutica:Pó P/ Solução Injetável"
349,Ampicilina,270556,"270556 - Ampicilina, Apresentação:Associada Com Sulbactam, Dosagem:1g + 500mg, Tipo Uso:Injetável"
349,Ampicilina,269359,"269359 - Ampicilina, Dosagem:250 MG"
349,Ampicilina,268207,"268207 - Ampicilina, Dosagem:1 G, Tipo Uso:Injetável"
349,Ampicilina,267515,"267515 - Ampicilina, Dosagem:500 MG"
351,Aminofilina,296272,"296272 - Aminofilina, Dosagem:240 MG/ML, Forma Farmacêutica:Solução Oral-Gotas"
351,Aminofilina,292402,"292402 - Aminofilina, Dosagem:24 MG/ML, Forma Farmacêutica:Solução Injetável"
351,Aminofilina,269810,"269810 - Aminofilina, Dosagem:200 MG"
351,Aminofilina,267511,"267511 - Aminofilina, Dosagem:100 MG"
352,Butoconazol,448693,"448693 - Butoconazol, Concentração:20 MG/G, Forma Farmacêutica:Creme Vaginal, Adicional:Com Aplicadores"
358,Vildagliptina,397649,"397649 - Vildagliptina, Concentração:100 MG"
358,Vildagliptina,362802,"362802 - Vildagliptina, Concentração:50 MG"
359,Zanamivir,393313,"393313 - Zanamivir, Concentração:5 MG, Forma Farmacêutica:Cápsula Pó Inalante, Característica Adicional:Com Aplicador"
359,Zanamivir,377008,"377008 - Zanamivir, Concentração:5 MG, Forma Farmacêutica:Pó Inalante, Característica Adicional:Com Aplicador"
360,Oxacilina,268513,"268513 - Oxacilina, Dosagem:500 MG, Composição:Injetável"
362,Hidromorfona,396562,"396562 - Hidromorfona, Composição:Cloridrato, Concentração:32 MG, Forma Farmacêutica:Liberação Gradual"
362,Hidromorfona,396561,"396561 - Hidromorfona, Composição:Cloridrato, Concentração:16 MG, Forma Farmacêutica:Liberação Gradual"
362,Hidromorfona,396560,"396560 - Hidromorfona, Composição:Cloridrato, Concentração:8 MG, Forma Farmacêutica:Liberação Gradual"
363,Aciclovir,628716,"628716 - Aciclovir, Concentração:40 MG/ML, Forma Farmaceutica:Suspensão Oral"
363,Aciclovir,438418,"438418 - Aciclovir, Concentração:40 MG/ML, Forma Farmaceutica:Solução Oral, Adicional:Formulação Especialmente Manipulada"
363,Aciclovir,268375,"268375 - Aciclovir, Dosagem:50 MG/G, Uso:Creme"
363,Aciclovir,268374,"268374 - Aciclovir, Dosagem:250 MG, Uso:Injetável"
363,Aciclovir,268373,"268373 - Aciclovir, Dosagem:30 MG/G, Uso:Pomada Oftálmica"
363,Aciclovir,268372,"268372 - Aciclovir, Dosagem:400 MG"
363,Aciclovir,268370,"268370 - Aciclovir, Dosagem:200 MG"
365,Benzilpenicilina,365543,"365543 - Benzilpenicilina, Composição:Benzatina, Concentração:150.000 UI/ML, Forma Farmaceutica:Suspensão Injetável"
365,Benzilpenicilina,365542,"365542 - Benzilpenicilina, Composição:Benzatina, Concentração:300.000 UI/ML, Forma Farmaceutica:Suspensão Injetável"
365,Benzilpenicilina,270617,"270617 - Benzilpenicilina, Apresentação:Potássica, Dosagem:10.000.000ui, Uso:Injetável"
365,Benzilpenicilina,270616,"270616 - Benzilpenicilina, Apresentação:Potássica, Dosagem:5.000.000ui, Uso:Injetável"
365,Benzilpenicilina,270615,"270615 - Benzilpenicilina, Apresentação:Potássica, Dosagem:1.000.000ui, Uso:Injetável"
365,Benzilpenicilina,270614,"270614 - Benzilpenicilina, Apresentação:Potássica, Composição:Associada À Penicilina Procainada, Dosagem:100.000ui + 300.000ui, Uso:Injetável"
365,Benzilpenicilina,270613,"270613 - Benzilpenicilina, Apresentação:Benzatina, Dosagem:600.000ui, Uso:Injetável"
365,Benzilpenicilina,270612,"270612 - Benzilpenicilina, Apresentação:Benzatina, Dosagem:1.200.000ui, Uso:Injetável"
353,Ácido Acetilsalicílico,627554,"627554 - Ácido Acetilsalicílico, Composição:Associado À Sinvastatina, Concentração:100 Mg + 10 MG"
353,Ácido Acetilsalicílico,627553,"627553 - Ácido Acetilsalicílico, Composição:Cafeína, Fenilefrina E Dexclorfeniramina, Concentração:400 Mg + 30 Mg + 10 Mg + 1 MG"
353,Ácido Acetilsalicílico,627552,"627552 - Ácido Acetilsalicílico, Composição:Associado À Cafeína E Clorfeniramina, Concentração:324 Mg + 32,4 Mg + 2 MG"
353,Ácido Acetilsalicílico,627551,"627551 - Ácido Acetilsalicílico, Composição:Associado À Cafeína, Concentração:500 Mg + 50 MG"
353,Ácido Acetilsalicílico,627549,"627549 - Ácido Acetilsalicílico, Concentração:500 MG, Forma Farmaceutica:Comprimido Efervescente"
353,Ácido Acetilsalicílico,627548,"627548 - Ácido Acetilsalicílico, Composição:Associado Ao Ácido Ascórbico, Concentração:400 Mg + 200 MG, Forma Farmaceutica:Comprimido Mastigável"
353,Ácido Acetilsalicílico,627547,"627547 - Ácido Acetilsalicílico, Concentração:100 MG, Forma Farmaceutica:Comprimido Mastigável"
353,Ácido Acetilsalicílico,624643,"624643 - Ácido Acetilsalicílico, Concentração:10 MG/ML, Forma Farmaceutica:Solução Oral, Adicional:Formulação Especialmente Manipulada"
353,Ácido Acetilsalicílico,608134,"608134 - Ácido Acetilsalicílico, Composição:Assoc. Ác.Cítrico,Bicarbonato E Carbonato De Sódio, Concentração:325 Mg + 1413 Mg + 1854 Mg + 400 MG, Forma Farmaceutica:Comprimido Efervescente"
