codigo_item,caracteristicas_ocds
354314,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Cimetidina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""400 MG""}]"
340167,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Cimetidina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""150 MG/ML""}]"
267627,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Cimetidina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""200 MG""}]"
448843,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ampicilina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""50 MG/ML""}]"
442727,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Pó P/ Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ampicilina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""500 MG""}]"
442689,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Pó P/ Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ampicilina; O Sulbactam""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""2 G + 1 G""}]"
270556,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ampicilina; Sulbactam""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""1 G + 500 MG""}]"
269359,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ampicilina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""250 MG""}]"
268207,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ampicilina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""1 G""}]"
267515,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Ampicilina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""500 MG""}]"
296272,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Oral-Gotas""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Aminofilina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""240 MG/ML""}]"
292402,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Aminofilina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""24 MG/ML""}]"
269810,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Aminofilina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""200 MG""}]"
267511,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Aminofilina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG""}]"
448693,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Creme Vaginal""},{""nomeCaracteristica"":""immediateContainer"",""nomeValorCaracteristica"":""aplicadores""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Butoconazol""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""20 MG/G""}]"
397649,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Vildagliptina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MG""}]"
362802,"[{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Vildagliptina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""50 MG""}]"
393313,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Cápsula Pó Inalante""},{""nomeCaracteristica"":""immediateContainer"",""nomeValorCaracteristica"":""aplicadores""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Zanamivir""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""5 MG""}]"
377008,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Pó Inalante""},{""nomeCaracteristica"":""immediateContainer"",""nomeValorCaracteristica"":""aplicadores""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Zanamivir""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""5 MG""}]"
268513,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Oxacilina""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""500 MG""}]"
396562,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Liberação Gradual""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Hidromorfona; Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""32 MG""}]"
396561,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Liberação Gradual""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Hidromorfona; Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""16 MG""}]"
396560,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Liberação Gradual""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Hidromorfona; Cloridrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""8 MG""}]"
628716,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Suspensão Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Aciclovir""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""40 MG/ML""}]"
438418,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Aciclovir""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""40 MG/ML""}]"
