numeroItem,descricao,materialOuServico,materialOuServicoNome,valorUnitarioEstimado,valorTotal,quantidade,unidadeMedida,orcamentoSigiloso,itemCategoriaId,itemCategoriaNome,patrimonio,codigoRegistroImobiliario,criterioJulgamentoId,criterioJulgamentoNome,situacaoCompraItem,situacaoCompraItemNome,tipoBeneficio,tipoBeneficioNome,incentivoProdutivoBasico,dataInclusao,dataAtualizacao,temResultado,imagem,aplicabilidadeMargemPreferenciaNormal,aplicabilidadeMargemPreferenciaAdicional,percentualMargemPreferenciaNormal,percentualMargemPreferenciaAdicional,ncmNbsCodigo,ncmNbsDescricao,catalogo,categoriaItemCatalogo,catalogoCodigoItem,informacaoComplementar,endpoint,codigo_pdm,codigo_br,similaridade,medicamento
2,"Álcool etílico hidratado 46,2º INPM, categoria comercial, líquido, acondicionado em embalagem reforçada e apropriada para manutenção da integridade do produto; rótulo com nr. de lote, data de fabricação/validade, composição e procedência. Embalagem primária:frasco plástico contendo 1 litro.",M,Material,4.98,11932.08,2396.0,Frasco,False,3,Não se aplica,nao_se_aplica,nao_se_aplica,1,Menor preço,1,Em andamento,4,Sem benefício,False,2025-01-02T08:15:19,2025-01-02T08:15:19,False,0,False,False,,,,,,,,,https://pncp.gov.br/api/pncp/v1/orgaos/46634358000177/compras/2024/133/itens,2259.0,273231,0.5563786029815674,True
3,"Álcool em gel 70° neutro, etílico hidratado 70° IPMN-composição álcool etílico, coadjuvantes, desnaturante e água. Registro na ANVISA/MS. Fornecido em frasco plástico com 500ml.",M,Material,3.96,19344.6,4885.0,Frasco,False,3,Não se aplica,nao_se_aplica,nao_se_aplica,1,Menor preço,1,Em andamento,4,Sem benefício,False,2025-01-02T08:15:19,2025-01-02T08:15:19,False,0,False,False,,,,,,,,,https://pncp.gov.br/api/pncp/v1/orgaos/46634358000177/compras/2024/133/itens,2259.0,269943,0.6022632718086243,True
1,"ÁCIDO VALPRÓICO 250 MG - COMPRIMIDO/CÁPSULA
<p>Ácido valpróico 250 mg.</p>",M,Material,0.3,86625.0,288750.0,COMPRIMIDO (COM),False,3,Não se aplica,,,1,Menor preço,1,Em andamento,4,Sem benefício,False,2025-01-02T08:22:27,2025-01-02T08:22:27,False,0,False,False,,,,,,,,,https://pncp.gov.br/api/pncp/v1/orgaos/88000906000157/compras/2024/376/itens,2036.0,267504,0.7138708233833313,True
2,"ÁCIDO VALPRÓICO 500MG, COMPRIMIDO
<p>Ácido valpróico 500 mg, comprimido.</p>",M,Material,0.51,210375.0,412500.0,COMPRIMIDO (COM),False,3,Não se aplica,,,1,Menor preço,1,Em andamento,4,Sem benefício,False,2025-01-02T08:22:27,2025-01-02T08:22:27,False,0,False,False,,,,,,,,,https://pncp.gov.br/api/pncp/v1/orgaos/88000906000157/compras/2024/376/itens,2036.0,267505,0.7305155992507935,True
3,"ÁCIDO VALPRÓICO 50MG/ML XAROPE - FRASCO 100ML
<p>Ácido valpróico 50 mg/ml, xarope, frasco 100 ml.</p>",M,Material,4.96,34720.0,7000.0,FRASCO (FRA),False,3,Não se aplica,,,1,Menor preço,1,Em andamento,1,Participação exclusiva para ME/EPP,False,2025-01-02T08:22:27,2025-01-02T08:22:27,False,0,False,False,,,,,,,,,https://pncp.gov.br/api/pncp/v1/orgaos/88000906000157/compras/2024/376/itens,2036.0,308732,0.8097701668739319,True
4,"AMITRIPTILINA CLORIDRATO 25MG - COMPRIMIDO
<p>Amitriptilina, cloridrato de, 25 mg, comprimido.</p>",M,Material,0.05,52500.0,1050000.0,COMPRIMIDO (COM),False,3,Não se aplica,,,1,Menor preço,1,Em andamento,1,Participação exclusiva para ME/EPP,False,2025-01-02T08:22:27,2025-01-02T08:22:27,False,0,False,False,,,,,,,,,https://pncp.gov.br/api/pncp/v1/orgaos/88000906000157/compras/2024/376/itens,5134.0,267512,0.716315746307373,True
5,"AMOXICILINA 500MG, COMPRIMIDO
<p>Amoxicilina 500 mg, comprimido/cápsula.</p>",M,Material,0.24,25200.0,105000.0,COMPRIMIDO (COM),False,3,Não se aplica,,,1,Menor preço,1,Em andamento,1,Participação exclusiva para ME/EPP,False,2025-01-02T08:22:27,2025-01-02T08:22:27,False,0,False,False,,,,,,,,,https://pncp.gov.br/api/pncp/v1/orgaos/88000906000157/compras/2024/376/itens,2436.0,271089,0.6775685548782349,True
6,"AMOXICILINA 50MG/ML PÓ PARA SUSPENSÃO ORAL FRASCO 60 ML
<p>Amoxicilina 50 mg/ml, pó para suspensão oral, frasco 60 ml.</p>",M,Material,2.9,18270.0,6300.0,FRASCO (FRA),False,3,Não se aplica,,,1,Menor preço,1,Em andamento,1,Participação exclusiva para ME/EPP,False,2025-01-02T08:22:27,2025-01-02T08:22:27,False,0,False,False,,,,,,,,,https://pncp.gov.br/api/pncp/v1/orgaos/88000906000157/compras/2024/376/itens,2436.0,271111,0.8048462867736816,True
7,"AMOXICILINA 50MG/ML PÓ PARA SUSPENSÃO ORAL FRASCO 150 ML
<p>Amoxicilina 50 mg/ml, pó para suspensão oral, frasco 150 ml.</p>",M,Material,5.15,25235.0,4900.0,FRASCO (FRA),False,3,Não se aplica,,,1,Menor preço,1,Em andamento,1,Participação exclusiva para ME/EPP,False,2025-01-02T08:22:27,2025-01-02T08:22:27,False,0,False,False,,,,,,,,,https://pncp.gov.br/api/pncp/v1/orgaos/88000906000157/compras/2024/376/itens,2436.0,271111,0.8089728951454163,True
8,"AMOXICILINA ASSOCIADA COM CLAVULANATO DE POTÁSSIO 500MG + 125MG
COMPRIMIDO
<p>Amoxicilina 500 mg + clavulanato de potássio 125 mg, comprimido.</p>",M,Material,2.63,207112.5,78750.0,COMPRIMIDO (COM),False,3,Não se aplica,,,1,Menor preço,1,Em andamento,4,Sem benefício,False,2025-01-02T08:22:27,2025-01-02T08:22:27,False,0,False,False,,,,,,,,,https://pncp.gov.br/api/pncp/v1/orgaos/88000906000157/compras/2024/376/itens,2436.0,271217,0.7891460657119751,True
