"numeroControlePNCPCompra","situacaoCompraItemResultadoNome","porteFornecedorNome","sequencialResultado","naturezaJuridicaNome","dataAtualizacao","niFornecedor","tipoPessoa","dataInclusao","numeroItem","valorTotalHomologado","timezoneCotacaoMoedaEstrangeira","moedaEstrangeira","valorNominalMoedaEstrangeira","dataCotacaoMoedaEstrangeira","nomeRazaoSocialFornecedor","codigoPais","porteFornecedorId","quantidadeHomologada","valorUnitarioHomologado","percentualDesconto","amparoLegalMargemPreferencia","amparoLegalCriterioDesempate","paisOrigemProdutoServico","indicadorSubcontratacao","ordemClassificacaoSrp","dataResultado","motivoCancelamento","dataCancelamento","situacaoCompraItemResultadoId","aplicacaoMargemPreferencia","aplicacaoBeneficioMeEpp","aplicacaoCriterioDesempate","naturezaJuridicaId","endpoint","amparoLegalCriterioDesempate.id","amparoLegalCriterioDesempate.nome","amparoLegalCriterioDesempate.descricao","amparoLegalCriterioDesempate.statusAtivo"
"14814139000183-1-000207/2024","Informado","Demais",1,"Sociedade Empresária Limitada","2025-01-02T08:46:14","00656468000139","PJ","2025-01-02T08:46:14",1,294,,,,,"SOMA/PR COMERCIO DE PRODUTOS HOSPITALARES LTDA","BRA",3,500,0.588,0,,,,FALSE,1,"2025-01-02",,,1,FALSE,FALSE,FALSE,"2062","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/207/itens/1/resultados",,,,
"14814139000183-1-000207/2024","Informado","Demais",1,"Sociedade Anônima Fechada","2025-01-02T08:46:14","60665981000975","PJ","2025-01-02T08:46:14",4,116000,,,,,"UNIAO QUIMICA FARMACEUTICA NACIONAL S A","BRA",3,1e+05,1.16,0,,,,FALSE,1,"2025-01-02",,,1,FALSE,FALSE,FALSE,"2054","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/207/itens/4/resultados",,,,
"14814139000183-1-000207/2024","Informado","Demais",1,"Sociedade Empresária Limitada","2025-01-02T08:46:15","13485130000103","PJ","2025-01-02T08:46:15",6,150,,,,,"PHARMA LOG PRODUTOS FARMACEUTICOS LTDA","BRA",3,500,0.3,0,,,,FALSE,1,"2025-01-02",,,1,FALSE,FALSE,FALSE,"2062","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/207/itens/6/resultados",,,,
"14814139000183-1-000207/2024","Informado","Demais",1,"Sociedade Empresária Limitada","2025-01-02T08:46:15","02816696000154","PJ","2025-01-02T08:46:15",7,338,,,,,"PONTAMED FARMACEUTICA LTDA","BRA",3,2000,0.169,0,,,,FALSE,1,"2025-01-02",,,1,FALSE,FALSE,FALSE,"2062","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/207/itens/7/resultados",,,,
"14814139000183-1-000207/2024","Informado","Demais",1,"Sociedade Empresária Limitada","2025-01-02T08:46:15","05439635000456","PJ","2025-01-02T08:46:15",8,70000,,,,,"ANTIBIOTICOS DO BRASIL LTDA.","BRA",3,500,140,0,,,,FALSE,1,"2025-01-02",,,1,FALSE,FALSE,FALSE,"2062","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/207/itens/8/resultados",,,,
"14814139000183-1-000207/2024","Informado","Demais",1,"Sociedade Empresária Limitada","2025-01-02T08:46:15","00656468000139","PJ","2025-01-02T08:46:15",9,1635,,,,,"SOMA/PR COMERCIO DE PRODUTOS HOSPITALARES LTDA","BRA",3,3000,0.545,0,,,,FALSE,1,"2025-01-02",,,1,FALSE,FALSE,FALSE,"2062","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/207/itens/9/resultados",,,,
"14814139000183-1-000207/2024","Informado","Demais",1,"Sociedade Empresária Limitada","2025-01-02T08:46:15","81706251000198","PJ","2025-01-02T08:46:15",10,1580,,,,,"PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA","BRA",3,1000,1.58,0,,,,FALSE,1,"2025-01-02",,,1,FALSE,FALSE,FALSE,"2062","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/207/itens/10/resultados",,,,
"75095679000149-1-000827/2024","Informado","ME",1,"Sociedade Empresária Limitada","2025-01-02T09:01:51","05696029000173","PJ","2025-01-02T09:01:51",2,450,,,,,"IMPORBIO - COMERCIAL IMPORTADORA CIENTIFICA LTDA","BRA",1,15,30,0,,,,FALSE,1,"2025-01-02",,,1,FALSE,FALSE,FALSE,"2062","https://pncp.gov.br/api/pncp/v1/orgaos/75095679000149/compras/2024/827/itens/2/resultados",,,,
"75095679000149-1-000827/2024","Informado","ME",1,"Sociedade Empresária Limitada","2025-01-02T09:01:51","49506242000140","PJ","2025-01-02T09:01:51",3,598,,,,,"HALOGENN PRODUTOS CIENTIFICOS LTDA","BRA",1,40,14.95,0,,,,FALSE,1,"2025-01-02",,,1,FALSE,FALSE,FALSE,"2062","https://pncp.gov.br/api/pncp/v1/orgaos/75095679000149/compras/2024/827/itens/3/resultados",,,,
"75095679000149-1-000827/2024","Informado","ME",1,"Sociedade Empresária Limitada","2025-01-02T09:01:52","08238866000147","PJ","2025-01-02T09:01:52",10,1134.24,,,,,"ADONEX COMERCIO DE PRODUTOS PARA LABORATORIO LTDA","BRA",1,12,94.52,0,,,,FALSE,1,"2025-01-02",,,1,FALSE,FALSE,FALSE,"2062","https://pncp.gov.br/api/pncp/v1/orgaos/75095679000149/compras/2024/827/itens/10/resultados",,,,
