id_execucao,executado_em,rotina,ano,mes,quinzena,periodo_label,tabela,contagem_antes,contagem_depois,delta,diretorio_data_package,observacao
historico_2025_baseline,,baseline,2025,,,baseline,contratante,,8295,,,
historico_2025_01_QUINZENA_1_carga_dados,,carga_dados,2025,1,QUINZENA-1,2025-01/QUINZENA-1,contratante,8295,8346,51,,(+51)
historico_2025_01_QUINZENA_2_carga_dados,,carga_dados,2025,1,QUINZENA-2,2025-01/QUINZENA-2,contratante,8346,8491,145,,
historico_2025_02_QUINZENA_1_carga_dados,,carga_dados,2025,2,QUINZENA-1,2025-02/QUINZENA-1,contratante,8491,8637,146,,
historico_2025_02_QUINZENA_2_carga_dados,,carga_dados,2025,2,QUINZENA-2,2025-02/QUINZENA-2,contratante,8637,8820,183,,
historico_2025_03_QUINZENA_1_carga_dados,,carga_dados,2025,3,QUINZENA-1,2025-03/QUINZENA-1,contratante,8820,8962,142,,
historico_2025_03_QUINZENA_2_carga_dados,,carga_dados,2025,3,QUINZENA-2,2025-03/QUINZENA-2,contratante,8962,9249,287,,
historico_2025_04_QUINZENA_1_carga_dados,,carga_dados,2025,4,QUINZENA-1,2025-04/QUINZENA-1,contratante,9249,9493,244,,
historico_2025_04_QUINZENA_2_carga_dados,,carga_dados,2025,4,QUINZENA-2,2025-04/QUINZENA-2,contratante,9493,9663,170,,
historico_2025_05_QUINZENA_1_carga_dados,,carga_dados,2025,5,QUINZENA-1,2025-05/QUINZENA-1,contratante,9663,9838,175,,
historico_2025_05_QUINZENA_2_carga_dados,,carga_dados,2025,5,QUINZENA-2,2025-05/QUINZENA-2,contratante,9838,10044,206,,
historico_2025_06_QUINZENA_1_carga_dados,,carga_dados,2025,6,QUINZENA-1,2025-06/QUINZENA-1,contratante,10044,10229,185,,
historico_2025_06_QUINZENA_2_carga_dados,,carga_dados,2025,6,QUINZENA-2,2025-06/QUINZENA-2,contratante,10229,10472,243,,
historico_2025_07_QUINZENA_1_carga_dados,,carga_dados,2025,7,QUINZENA-1,2025-07/QUINZENA-1,contratante,10472,10553,81,,
historico_2025_07_QUINZENA_2_carga_dados,,carga_dados,2025,7,QUINZENA-2,2025-07/QUINZENA-2,contratante,10553,10732,179,,
historico_2025_08_QUINZENA_1_carga_dados,,carga_dados,2025,8,QUINZENA-1,2025-08/QUINZENA-1,contratante,10732,10914,182,,
historico_2025_08_QUINZENA_2_carga_dados,,carga_dados,2025,8,QUINZENA-2,2025-08/QUINZENA-2,contratante,10914,11054,140,,
historico_2025_09_QUINZENA_1_carga_dados,,carga_dados,2025,9,QUINZENA-1,2025-09/QUINZENA-1,contratante,11054,11226,172,,
historico_2025_09_QUINZENA_2_carga_dados,,carga_dados,2025,9,QUINZENA-2,2025-09/QUINZENA-2,contratante,11226,11445,219,,
historico_2025_10_QUINZENA_1_carga_dados,,carga_dados,2025,10,QUINZENA-1,2025-10/QUINZENA-1,contratante,11445,11550,105,,
historico_2025_10_QUINZENA_2_carga_dados,,carga_dados,2025,10,QUINZENA-2,2025-10/QUINZENA-2,contratante,11550,11668,118,,
historico_2025_11_QUINZENA_1_carga_dados,,carga_dados,2025,11,QUINZENA-1,2025-11/QUINZENA-1,contratante,11668,11822,154,,
historico_2025_11_QUINZENA_2_carga_dados,,carga_dados,2025,11,QUINZENA-2,2025-11/QUINZENA-2,contratante,11822,11935,113,,
historico_2025_12_QUINZENA_1_carga_dados,,carga_dados,2025,12,QUINZENA-1,2025-12/QUINZENA-1,contratante,11935,12066,131,,
historico_2025_12_QUINZENA_2_carga_dados,,carga_dados,2025,12,QUINZENA-2,2025-12/QUINZENA-2,contratante,12066,12190,124,,
historico_2026_01_QUINZENA_1_carga_dados,,carga_dados,2026,1,QUINZENA-1,2026-01/QUINZENA-1,contratante,12190,12257,67,,
historico_2026_01_QUINZENA_2_carga_dados,,carga_dados,2026,1,QUINZENA-2,2026-01/QUINZENA-2,contratante,12257,12320,63,,
historico_2026_02_QUINZENA_1_carga_dados,,carga_dados,2026,2,QUINZENA-1,2026-02/QUINZENA-1,contratante,12320,12417,97,,
historico_2026_02_QUINZENA_2_carga_dados,,carga_dados,2026,2,QUINZENA-2,2026-02/QUINZENA-2,contratante,12417,12497,80,,
historico_2026_03_QUINZENA_1_carga_dados,,carga_dados,2026,3,QUINZENA-1,2026-03/QUINZENA-1,contratante,12497,12588,91,,
historico_2026_03_QUINZENA_2_carga_dados,,carga_dados,2026,3,QUINZENA-2,2026-03/QUINZENA-2,contratante,12588,12783,195,,
historico_2025_baseline,,baseline,2025,,,baseline,fornecedor,,6135,,,
historico_2025_01_QUINZENA_1_carga_dados,,carga_dados,2025,1,QUINZENA-1,2025-01/QUINZENA-1,fornecedor,6135,6313,178,,
historico_2025_01_QUINZENA_2_carga_dados,,carga_dados,2025,1,QUINZENA-2,2025-01/QUINZENA-2,fornecedor,6313,6498,185,,
historico_2025_02_QUINZENA_1_carga_dados,,carga_dados,2025,2,QUINZENA-1,2025-02/QUINZENA-1,fornecedor,6498,6673,175,,
historico_2025_02_QUINZENA_2_carga_dados,,carga_dados,2025,2,QUINZENA-2,2025-02/QUINZENA-2,fornecedor,6673,6874,201,,
historico_2025_03_QUINZENA_1_carga_dados,,carga_dados,2025,3,QUINZENA-1,2025-03/QUINZENA-1,fornecedor,6874,7076,202,,
historico_2025_03_QUINZENA_2_carga_dados,,carga_dados,2025,3,QUINZENA-2,2025-03/QUINZENA-2,fornecedor,7076,7426,350,,
historico_2025_04_QUINZENA_1_carga_dados,,carga_dados,2025,4,QUINZENA-1,2025-04/QUINZENA-1,fornecedor,7426,7651,225,,
historico_2025_04_QUINZENA_2_carga_dados,,carga_dados,2025,4,QUINZENA-2,2025-04/QUINZENA-2,fornecedor,7651,7800,149,,
historico_2025_05_QUINZENA_1_carga_dados,,carga_dados,2025,5,QUINZENA-1,2025-05/QUINZENA-1,fornecedor,7800,7968,168,,
historico_2025_05_QUINZENA_2_carga_dados,,carga_dados,2025,5,QUINZENA-2,2025-05/QUINZENA-2,fornecedor,7968,8149,181,,
historico_2025_06_QUINZENA_1_carga_dados,,carga_dados,2025,6,QUINZENA-1,2025-06/QUINZENA-1,fornecedor,8149,8340,191,,
historico_2025_06_QUINZENA_2_carga_dados,,carga_dados,2025,6,QUINZENA-2,2025-06/QUINZENA-2,fornecedor,8340,8505,165,,
historico_2025_07_QUINZENA_1_carga_dados,,carga_dados,2025,7,QUINZENA-1,2025-07/QUINZENA-1,fornecedor,8505,8569,64,,
historico_2025_07_QUINZENA_2_carga_dados,,carga_dados,2025,7,QUINZENA-2,2025-07/QUINZENA-2,fornecedor,8569,8744,175,,
historico_2025_08_QUINZENA_1_carga_dados,,carga_dados,2025,8,QUINZENA-1,2025-08/QUINZENA-1,fornecedor,8744,8897,153,,
historico_2025_08_QUINZENA_2_carga_dados,,carga_dados,2025,8,QUINZENA-2,2025-08/QUINZENA-2,fornecedor,8897,9043,146,,
historico_2025_09_QUINZENA_1_recoleta_resultados,,recoleta_resultados,2025,9,QUINZENA-1,2025-09/QUINZENA-1,fornecedor,9043,9155,112,,recoleta itens homologados
historico_2025_09_QUINZENA_2_recoleta_resultados,,recoleta_resultados,2025,9,QUINZENA-2,2025-09/QUINZENA-2,fornecedor,9155,9172,17,,recoleta itens homologados
historico_2025_09_QUINZENA_1_carga_dados,,carga_dados,2025,9,QUINZENA-1,2025-09/QUINZENA-1,fornecedor,9172,9312,140,,
historico_2025_09_QUINZENA_2_carga_dados,,carga_dados,2025,9,QUINZENA-2,2025-09/QUINZENA-2,fornecedor,9312,9486,174,,
historico_2025_10_QUINZENA_1_recoleta_resultados,,recoleta_resultados,2025,10,QUINZENA-1,2025-10/QUINZENA-1,fornecedor,9486,9715,229,,Recoleta itens homologados
historico_2025_10_QUINZENA_1_carga_dados,,carga_dados,2025,10,QUINZENA-1,2025-10/QUINZENA-1,fornecedor,9715,9810,95,,
historico_2025_10_QUINZENA_2_carga_dados,,carga_dados,2025,10,QUINZENA-2,2025-10/QUINZENA-2,fornecedor,9810,9904,94,,
historico_2025_11_QUINZENA_1_carga_dados,,carga_dados,2025,11,QUINZENA-1,2025-11/QUINZENA-1,fornecedor,9904,10015,111,,
historico_2025_11_QUINZENA_2_carga_dados,,carga_dados,2025,11,QUINZENA-2,2025-11/QUINZENA-2,fornecedor,10015,10136,121,,
historico_2025_12_QUINZENA_1_carga_dados,,carga_dados,2025,12,QUINZENA-1,2025-12/QUINZENA-1,fornecedor,10136,10284,148,,
historico_2025_12_QUINZENA_2_carga_dados,,carga_dados,2025,12,QUINZENA-2,2025-12/QUINZENA-2,fornecedor,10284,10400,116,,
historico_2026_01_QUINZENA_1_carga_dados,,carga_dados,2026,1,QUINZENA-1,2026-01/QUINZENA-1,fornecedor,10400,10437,37,,
historico_2026_01_QUINZENA_2_carga_dados,,carga_dados,2026,1,QUINZENA-2,2026-01/QUINZENA-2,fornecedor,10437,10489,52,,
historico_2026_02_QUINZENA_1_carga_dados,,carga_dados,2026,2,QUINZENA-1,2026-02/QUINZENA-1,fornecedor,10489,10590,101,,
historico_2026_02_QUINZENA_2_carga_dados,,carga_dados,2026,2,QUINZENA-2,2026-02/QUINZENA-2,fornecedor,10590,10680,90,,
historico_2026_03_QUINZENA_1_carga_dados,,carga_dados,2026,3,QUINZENA-1,2026-03/QUINZENA-1,fornecedor,10680,10793,113,,
historico_2026_03_QUINZENA_2_carga_dados,,carga_dados,2026,3,QUINZENA-2,2026-03/QUINZENA-2,fornecedor,10793,10962,169,,
historico_2025_baseline,,baseline,2025,,,baseline,contratacao,,46652,,,
historico_2025_01_QUINZENA_1_carga_dados,,carga_dados,2025,1,QUINZENA-1,2025-01/QUINZENA-1,contratacao,46652,47141,489,,
historico_2025_01_QUINZENA_2_carga_dados,,carga_dados,2025,1,QUINZENA-2,2025-01/QUINZENA-2,contratacao,47141,48186,1045,,
historico_2025_02_QUINZENA_1_carga_dados,,carga_dados,2025,2,QUINZENA-1,2025-02/QUINZENA-1,contratacao,48186,49658,1472,,
historico_2025_02_QUINZENA_2_carga_dados,,carga_dados,2025,2,QUINZENA-2,2025-02/QUINZENA-2,contratacao,49658,51311,1653,,
historico_2025_03_QUINZENA_1_carga_dados,,carga_dados,2025,3,QUINZENA-1,2025-03/QUINZENA-1,contratacao,51311,52456,1145,,
historico_2025_03_QUINZENA_2_carga_dados,,carga_dados,2025,3,QUINZENA-2,2025-03/QUINZENA-2,contratacao,52456,55183,2727,,
historico_2025_04_QUINZENA_1_carga_dados,,carga_dados,2025,4,QUINZENA-1,2025-04/QUINZENA-1,contratacao,55183,57317,2134,,
historico_2025_04_QUINZENA_2_carga_dados,,carga_dados,2025,4,QUINZENA-2,2025-04/QUINZENA-2,contratacao,57317,58843,1526,,
historico_2025_05_QUINZENA_1_carga_dados,,carga_dados,2025,5,QUINZENA-1,2025-05/QUINZENA-1,contratacao,58843,60536,1693,,
historico_2025_05_QUINZENA_2_carga_dados,,carga_dados,2025,5,QUINZENA-2,2025-05/QUINZENA-2,contratacao,60536,62611,2075,,
historico_2025_06_QUINZENA_1_carga_dados,,carga_dados,2025,6,QUINZENA-1,2025-06/QUINZENA-1,contratacao,62611,64666,2055,,
historico_2025_06_QUINZENA_2_carga_dados,,carga_dados,2025,6,QUINZENA-2,2025-06/QUINZENA-2,contratacao,64666,67373,2707,,
historico_2025_07_QUINZENA_1_carga_dados,,carga_dados,2025,7,QUINZENA-1,2025-07/QUINZENA-1,contratacao,67373,68221,848,,
historico_2025_07_QUINZENA_2_carga_dados,,carga_dados,2025,7,QUINZENA-2,2025-07/QUINZENA-2,contratacao,68221,70297,2076,,
historico_2025_08_QUINZENA_1_carga_dados,,carga_dados,2025,8,QUINZENA-1,2025-08/QUINZENA-1,contratacao,70297,72082,1785,,
historico_2025_08_QUINZENA_2_carga_dados,,carga_dados,2025,8,QUINZENA-2,2025-08/QUINZENA-2,contratacao,72082,73808,1726,,
historico_2025_09_QUINZENA_1_carga_dados,,carga_dados,2025,9,QUINZENA-1,2025-09/QUINZENA-1,contratacao,73808,76326,2518,,
historico_2025_09_QUINZENA_2_carga_dados,,carga_dados,2025,9,QUINZENA-2,2025-09/QUINZENA-2,contratacao,76326,79778,3452,,
historico_2025_10_QUINZENA_1_carga_dados,,carga_dados,2025,10,QUINZENA-1,2025-10/QUINZENA-1,contratacao,79778,81256,1478,,
historico_2025_10_QUINZENA_2_carga_dados,,carga_dados,2025,10,QUINZENA-2,2025-10/QUINZENA-2,contratacao,81256,82723,1467,,
historico_2025_11_QUINZENA_1_carga_dados,,carga_dados,2025,11,QUINZENA-1,2025-11/QUINZENA-1,contratacao,82723,84317,1594,,
historico_2025_11_QUINZENA_2_carga_dados,,carga_dados,2025,11,QUINZENA-2,2025-11/QUINZENA-2,contratacao,84317,85890,1573,,
historico_2025_12_QUINZENA_1_carga_dados,,carga_dados,2025,12,QUINZENA-1,2025-12/QUINZENA-1,contratacao,85890,87771,1881,,
