endpoint_alias,campo,coluna_template,fonte,schema_api,tipo_api,formato_api,descricao,data_inicio_coleta,data_atualizacao_template,presente_na_api,usar_no_template,status_template,ordem_template,ordem_api
contratacoes,srp,data.srp,api,RecuperarCompraPublicacaoDTO,boolean,,Indica se a contratação está enquadrada como Sistema de Registro de Preços (SRP); verdadeiro quando a contratação utiliza esse regime de aquisição,2026-05-20,2026-09-01,TRUE,TRUE,ativo,1,1
contratacoes,orgaoEntidade,data.orgaoEntidade,api,RecuperarCompraPublicacaoDTO,object,,Objeto que reúne os dados do órgão ou entidade responsável pela contratação,2026-05-20,2026-09-01,TRUE,TRUE,ativo,2,2
contratacoes,orgaoEntidade.cnpj,data.orgaoEntidade.cnpj,api,RecuperarOrgaoEntidadeDTO,string,,CNPJ do órgão ou entidade responsável pela contratação,2026-05-20,2026-09-01,TRUE,TRUE,ativo,3,3
contratacoes,orgaoEntidade.razaoSocial,data.orgaoEntidade.razaoSocial,api,RecuperarOrgaoEntidadeDTO,string,,Razão social do órgão ou entidade que realiza a contratação,2026-05-20,2026-09-01,TRUE,TRUE,ativo,4,4
contratacoes,orgaoEntidade.poderId,data.orgaoEntidade.poderId,api,RecuperarOrgaoEntidadeDTO,string,,"Código do poder a que pertence o órgão (L – Legislativo, E – Executivo, J – Judiciário)",2026-05-20,2026-09-01,TRUE,TRUE,ativo,5,5
contratacoes,orgaoEntidade.esferaId,data.orgaoEntidade.esferaId,api,RecuperarOrgaoEntidadeDTO,string,,"Código da esfera administrativa do órgão (F – Federal, E – Estadual, M – Municipal, D – Distrital)",2026-05-20,2026-09-01,TRUE,TRUE,ativo,6,6
contratacoes,anoCompra,data.anoCompra,api,RecuperarCompraPublicacaoDTO,integer,int32,Ano em que a contratação foi realizada,2026-05-20,2026-09-01,TRUE,TRUE,ativo,7,7
contratacoes,sequencialCompra,data.sequencialCompra,api,RecuperarCompraPublicacaoDTO,integer,int32,Número sequencial gerado pelo PNCP quando a contratação foi inserida no sistema,2026-05-20,2026-09-01,TRUE,TRUE,ativo,8,8
contratacoes,dataInclusao,data.dataInclusao,api,RecuperarCompraPublicacaoDTO,string,date-time,Data em que o registro da contratação foi incluído no PNCP,2026-05-20,2026-09-01,TRUE,TRUE,ativo,9,9
contratacoes,dataPublicacaoPncp,data.dataPublicacaoPncp,api,RecuperarCompraPublicacaoDTO,string,date-time,Data em que a contratação foi publicada no PNCP,2026-05-20,2026-09-01,TRUE,TRUE,ativo,10,10
contratacoes,dataAtualizacao,data.dataAtualizacao,api,RecuperarCompraPublicacaoDTO,string,date-time,Data da última atualização do registro da contratação no PNCP,2026-05-20,2026-09-01,TRUE,TRUE,ativo,11,11
contratacoes,numeroCompra,data.numeroCompra,api,RecuperarCompraPublicacaoDTO,string,,"Número da contratação no sistema de origem (por exemplo, o número do processo no órgão)",2026-05-20,2026-09-01,TRUE,TRUE,ativo,12,12
contratacoes,unidadeOrgao,data.unidadeOrgao,api,RecuperarCompraPublicacaoDTO,object,,Objeto com os dados da unidade administrativa do órgão responsável pela contratação,2026-05-20,2026-09-01,TRUE,TRUE,ativo,13,13
contratacoes,unidadeOrgao.ufNome,data.unidadeOrgao.ufNome,api,RecuperarUnidadeOrgaoDTO,string,,Nome da unidade federativa (estado) da unidade administrativa do órgão,2026-05-20,2026-09-01,TRUE,TRUE,ativo,14,14
contratacoes,unidadeOrgao.codigoIbge,data.unidadeOrgao.codigoIbge,api,RecuperarUnidadeOrgaoDTO,string,,Código IBGE do município da unidade administrativa do órgão,2026-05-20,2026-09-01,TRUE,TRUE,ativo,15,19
contratacoes,unidadeOrgao.codigoUnidade,data.unidadeOrgao.codigoUnidade,api,RecuperarUnidadeOrgaoDTO,string,,Código da unidade administrativa pertencente ao órgão,2026-05-20,2026-09-01,TRUE,TRUE,ativo,16,15
contratacoes,unidadeOrgao.nomeUnidade,data.unidadeOrgao.nomeUnidade,api,RecuperarUnidadeOrgaoDTO,string,,Nome da unidade administrativa pertencente ao órgão,2026-05-20,2026-09-01,TRUE,TRUE,ativo,17,16
contratacoes,unidadeOrgao.ufSigla,data.unidadeOrgao.ufSigla,api,RecuperarUnidadeOrgaoDTO,string,,Sigla da unidade federativa (UF) da unidade administrativa do órgão,2026-05-20,2026-09-01,TRUE,TRUE,ativo,18,17
