endpoint_alias,campo,coluna_template,fonte,schema_api,tipo_api,formato_api,descricao,data_inicio_coleta,data_atualizacao_template,presente_na_api,usar_no_template,status_template,ordem_template,ordem_api
resultados_itens,numeroControlePNCPCompra,numeroControlePNCPCompra,api,RecuperarCompraItemResultadoDTO,string,,Número de controle PNCP da contratação a que o item pertence,2026-05-20,2026-05-22,TRUE,TRUE,ativo,1,43
resultados_itens,numeroItem,numeroItem,api,RecuperarCompraItemResultadoDTO,integer,int32,Número do item na contratação,2026-05-20,2026-05-23,TRUE,TRUE,ativo,2,7
resultados_itens,endpoint,endpoint,coletor,,,,URL consultada pelo coletor.,2026-05-20,2026-05-20,FALSE,TRUE,operacional,3,
resultados_itens,sequencialResultado,sequencialResultado,api,RecuperarCompraItemResultadoDTO,integer,int32,Número sequencial do resultado associado ao item,2026-05-20,2026-05-23,TRUE,TRUE,ativo,4,37
resultados_itens,situacaoCompraItemResultadoId,situacaoCompraItemResultadoId,api,RecuperarCompraItemResultadoDTO,string,,Identificador da situação do item no resultado de compra,2026-05-20,2026-05-23,TRUE,TRUE,ativo,5,34
resultados_itens,situacaoCompraItemResultadoNome,situacaoCompraItemResultadoNome,api,RecuperarCompraItemResultadoDTO,string,,Nome descritivo da situação do item no resultado de compra,2026-05-20,2026-05-23,TRUE,TRUE,ativo,6,35
resultados_itens,dataInclusao,dataInclusao,api,RecuperarCompraItemResultadoDTO,string,date-time,Data de inclusão do resultado do item no PNCP,2026-05-20,2026-05-23,TRUE,TRUE,ativo,7,2
resultados_itens,dataAtualizacao,dataAtualizacao,api,RecuperarCompraItemResultadoDTO,string,date-time,Data de última atualização do resultado do item no PNCP,2026-05-20,2026-05-23,TRUE,TRUE,ativo,8,3
resultados_itens,niFornecedor,niFornecedor,api,RecuperarCompraItemResultadoDTO,string,,Número de Identificação Fiscal do fornecedor (CPF ou CNPJ),2026-05-20,2026-05-23,TRUE,TRUE,ativo,9,4
resultados_itens,nomeRazaoSocialFornecedor,nomeRazaoSocialFornecedor,api,RecuperarCompraItemResultadoDTO,string,,Nome ou razão social do fornecedor vencedor do item,2026-05-20,2026-05-23,TRUE,TRUE,ativo,10,6
