numeroItem,descricao,materialOuServico,materialOuServicoNome,valorUnitarioEstimado,valorTotal,quantidade,unidadeMedida,orcamentoSigiloso,itemCategoriaId,itemCategoriaNome,patrimonio,codigoRegistroImobiliario,criterioJulgamentoId,criterioJulgamentoNome,situacaoCompraItem,situacaoCompraItemNome,tipoBeneficio,tipoBeneficioNome,incentivoProdutivoBasico,dataInclusao,dataAtualizacao,temResultado,imagem,aplicabilidadeMargemPreferenciaNormal,aplicabilidadeMargemPreferenciaAdicional,percentualMargemPreferenciaNormal,percentualMargemPreferenciaAdicional,ncmNbsCodigo,ncmNbsDescricao,catalogo,categoriaItemCatalogo,catalogoCodigoItem,informacaoComplementar,endpoint,status_code,clean_descricao,codigo_pdm,endpoint_resultado,endpoint_contratacao
5,BENFOTIAMINA 150 MG: EMBALAGENS CONTENDO 30 DRÁGEAS.,M,Material,0,0,1080,COMPRIMIDOS,TRUE,3,Não se aplica,NA,NA,1,Menor preço,2,Homologado,4,Sem benefício,FALSE,2024-09-18T13:42:09Z,2024-10-23T14:01:40Z,FALSE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/24859332000194/compras/2024/82/itens,200,benfotiamina mg embalagens contendo drageas,10331,https://pncp.gov.br/api/pncp/v1/orgaos/24859332000194/compras/2024/82/itens/5/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/24859332000194/compras/2024/82
1,RISPERIDONA 2 MG - COMPRIMIDO,M,Material,0.12,1200,10000,COMPRIMIDO,FALSE,3,Não se aplica,NA,NA,1,Menor preço,1,Em andamento,5,Não se aplica,FALSE,2024-09-02T15:33:39Z,2024-09-02T15:33:39Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/12998458000160/compras/2024/632/itens,200,risperidona mg comprimido,11759,https://pncp.gov.br/api/pncp/v1/orgaos/12998458000160/compras/2024/632/itens/1/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/12998458000160/compras/2024/632
4601043,NUTRICAO PARENTERAL DE FORMULA  INDIVIDUALIZADA POR KG PESO ADULTO,M,Material,0,0,135,L,TRUE,3,Não se aplica,NA,NA,1,Menor preço,3,Anulado/Revogado/Cancelado,1,Participação exclusiva para ME/EPP,FALSE,2024-08-07T12:00:35Z,2024-11-08T17:00:10Z,FALSE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/31506306000148/compras/2024/8/itens,200,nutricao parenteral de formula individualizada por kg peso adulto,18501,https://pncp.gov.br/api/pncp/v1/orgaos/31506306000148/compras/2024/8/itens/4601043/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/31506306000148/compras/2024/8
1271733,"COLECALCIFEROL VIT D3, 50.000U.I COMPRIMIDO.",M,Material,2.075,49.8,24,Un,FALSE,3,Não se aplica,NA,NA,7,Não se aplica,2,Homologado,4,Sem benefício,FALSE,2024-08-20T12:23:31Z,2024-09-23T14:45:03Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/05816630000152/compras/2024/5119/itens,200,colecalciferol vit d u i comprimido,1631,https://pncp.gov.br/api/pncp/v1/orgaos/05816630000152/compras/2024/5119/itens/1271733/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/05816630000152/compras/2024/5119
7,Propiltiouracil,M,Material,1.24,29760,24000,Comprimido,FALSE,3,Não se aplica,NA,NA,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,FALSE,2024-11-26T07:05:21Z,2024-12-20T12:40:00Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/26981455000129/compras/2024/123/itens,200,propiltiouracil,11274,https://pncp.gov.br/api/pncp/v1/orgaos/26981455000129/compras/2024/123/itens/7/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/26981455000129/compras/2024/123
31760,"Accu-chek FlexLink 8mmX60cm (cânula + cateter) - Conjunto de Set de Infusão de insulina tamanho 8/60 para uso em bomba de insulina, compatível com cartucho de 3,15 ml. Caixa com 10 unidades. Para atender demanda judicial: 0004406-22.2011.8.26.0441; 0004691-10.2014.8.26.0441",M,Material,1499.91,4499.73,3,CX,FALSE,3,Não se aplica,NA,NA,1,Menor preço,4,Deserto,4,Sem benefício,FALSE,2024-11-28T18:41:17Z,2024-12-12T17:04:01Z,FALSE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/46578514000120/compras/2024/297/itens,200,accu chek flexlink mmxcm canula + cateter conjunto de set de infusao de insulina tamanho para uso em bomba de insulina compativel com cartucho de ml caixa com unidades para atender demanda judicial,8428,https://pncp.gov.br/api/pncp/v1/orgaos/46578514000120/compras/2024/297/itens/31760/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/46578514000120/compras/2024/297
10,Clonazepam,M,Material,3.05,1220,400,"Frasco 20,00 ML",FALSE,3,Não se aplica,NA,NA,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,FALSE,2024-10-10T07:15:34Z,2024-11-07T16:13:42Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/184/itens,200,clonazepam,5087,https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/184/itens/10/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/29063294000182/compras/2024/184
5,"FENOFIBRATO, 160MG, COMPRIMIDO REVESTIDO, UNIDADE 1.0 COMPRIMIDO",M,Material,2.5,4505.94,1800,UNIDADE 1.0 COMPRIMIDO,FALSE,3,Não se aplica,NA,NA,1,Menor preço,1,Em andamento,5,Não se aplica,FALSE,2024-09-26T13:44:22Z,2024-09-26T13:44:22Z,FALSE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/07954480000179/compras/2024/17165/itens,200,fenofibrato mg comprimido revestido unidade comprimido,17700,https://pncp.gov.br/api/pncp/v1/orgaos/07954480000179/compras/2024/17165/itens/5/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/07954480000179/compras/2024/17165
7,Esterase,M,Material,0,0,27,Frasco-Ampola,TRUE,3,Não se aplica,NA,NA,1,Menor preço,1,Em andamento,5,Não se aplica,FALSE,2024-09-05T07:02:17Z,2024-09-05T07:02:17Z,FALSE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/18715383000140/compras/2024/760/itens,200,esterase,3120,https://pncp.gov.br/api/pncp/v1/orgaos/18715383000140/compras/2024/760/itens/7/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/18715383000140/compras/2024/760
1,LAMOTRIGINA - 100 MG. MARCA OBRIGATORIA: ILUDRAL OU ANTARA.,M,Material,2.73,3538.08,1296,COMPRIMIDO,FALSE,3,Não se aplica,NA,NA,1,Menor preço,2,Homologado,5,Não se aplica,FALSE,2024-10-03T11:23:54Z,2024-11-04T14:53:40Z,TRUE,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,https://pncp.gov.br/api/pncp/v1/orgaos/12998458000160/compras/2024/864/itens,200,lamotrigina mg marca obrigatoria iludral ou antara,8640,https://pncp.gov.br/api/pncp/v1/orgaos/12998458000160/compras/2024/864/itens/1/resultados,https://pncp.gov.br/api/pncp/v1/orgaos/12998458000160/compras/2024/864
