amparoLegalCriterioDesempate.id,amparoLegalCriterioDesempate.nome,amparoLegalCriterioDesempate.descricao,amparoLegalCriterioDesempate.statusAtivo,amparoLegalMargemPreferencia,aplicacaoBeneficioMeEpp,aplicacaoCriterioDesempate,aplicacaoMargemPreferencia,codigoPais,dataAtualizacao,dataCancelamento,dataCotacaoMoedaEstrangeira,dataInclusao,dataResultado,endpoint,indicadorSubcontratacao,moedaEstrangeira,motivoCancelamento,naturezaJuridicaId,naturezaJuridicaNome,niFornecedor,nomeRazaoSocialFornecedor,numeroControlePNCPCompra,numeroItem,ordemClassificacaoSrp,paisOrigemProdutoServico,percentualDesconto,porteFornecedorId,porteFornecedorNome,quantidadeHomologada,sequencialResultado,situacaoCompraItemResultadoId,situacaoCompraItemResultadoNome,timezoneCotacaoMoedaEstrangeira,tipoPessoa,valorNominalMoedaEstrangeira,valorTotalHomologado,valorUnitarioHomologado
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-08-30T13:22:40,NA,NA,2024-08-30T13:22:40,2024-08-30,https://pncp.gov.br/api/pncp/v1/orgaos/46374500000194/compras/2024/5289/itens/9/resultados,FALSE,NA,NA,2062,Sociedade Empresária Limitada,41500407000165,HENRIVIX COMERCIO DE MEDICAMENTOS E MATERIAIS HOSPITALARES LTDA,46374500000194-1-005289/2024,9,NA,NA,0.0000,1,ME,200,1,1,Informado,NA,PJ,NA,396.000,1.9800
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2025-01-13T09:25:15,NA,NA,2025-01-13T09:00:18,2025-01-13,https://pncp.gov.br/api/pncp/v1/orgaos/07954480000179/compras/2024/12206/itens/5/resultados,FALSE,NA,NA,NA,NA,09092152000136,EMMARKA DISTRIBUIDORADE MEDICAMENTOS LTDA,07954480000179-1-012206/2024,5,1,NA,0.0000,3,Demais,3625,1,1,Informado,NA,PJ,NA,139259.450,38.4164
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-09-16T08:32:11,NA,NA,2024-09-16T08:32:11,2024-09-16,https://pncp.gov.br/api/pncp/v1/orgaos/16781346000104/compras/2024/154/itens/4666022/resultados,FALSE,NA,NA,NA,NA,28082137000151,RF SERVICOS DE BUFFET E EVENTOS LTDA,16781346000104-1-000154/2024,4666022,1,NA,99.9914,1,ME,8000,1,1,Informado,NA,PJ,NA,41600.000,5.2000
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-09-10T12:02:40,NA,NA,2024-09-10T12:02:40,2024-09-10,https://pncp.gov.br/api/pncp/v1/orgaos/46374500000194/compras/2024/5755/itens/8/resultados,FALSE,NA,NA,2062,Sociedade Empresária Limitada,23690002000155,ZMED DISTRIBUIDORA DE MATERIAIS MEDICOS LTDA,46374500000194-1-005755/2024,8,NA,NA,0.0000,1,ME,200,1,1,Informado,NA,PJ,NA,1.586000e+03,7.9300
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-09-10T13:37:45,NA,NA,2024-09-10T13:37:45,2024-09-10,https://pncp.gov.br/api/pncp/v1/orgaos/18602060000140/compras/2024/94/itens/4700011/resultados,FALSE,NA,NA,NA,NA,44734671002286,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,18602060000140-1-000094/2024,4700011,1,NA,99.9870,3,Demais,3000,1,1,Informado,NA,PJ,NA,32010.000,10.6700
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-10-10T17:58:14,NA,NA,2024-10-10T17:58:14,2024-10-10,https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2024/2593/itens/8/resultados,FALSE,NA,NA,2062,Sociedade Empresária Limitada,44734671002286,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,15126437000143-1-002593/2024,8,1,NA,0.0000,3,Demais,67,1,1,Informado,NA,PJ,NA,1206.000,18.0000
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-09-19T13:55:20,NA,NA,2024-09-19T13:55:20,2024-09-19,https://pncp.gov.br/api/pncp/v1/orgaos/46381000002123/compras/2024/31/itens/10/resultados,FALSE,NA,NA,2062,Sociedade Empresária Limitada,17756574000197,MANZATOS FARMA LTDA,46381000002123-1-000031/2024,10,NA,NA,0.0000,1,ME,160,1,1,Informado,NA,PJ,NA,7.152000e+02,4.4700
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-10-11T11:58:06,NA,NA,2024-10-11T11:58:06,2024-10-11,https://pncp.gov.br/api/pncp/v1/orgaos/08241739000105/compras/2024/772/itens/8/resultados,FALSE,NA,NA,2062,Sociedade Empresária Limitada,07055280000184,F WILTON CAVALCANTE MONTEIRO LTDA,08241739000105-1-000772/2024,8,1,NA,0.0000,3,Demais,2880,1,1,Informado,NA,PJ,NA,1.172160e+04,4.0700
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-09-19T10:02:13,NA,NA,2024-09-19T10:02:13,2024-09-19,https://pncp.gov.br/api/pncp/v1/orgaos/12474705000120/compras/2024/186/itens/1/resultados,FALSE,NA,NA,2062,Sociedade Empresária Limitada,67729178000491,COMERCIAL CIRURGICA RIOCLARENSE LTDA,12474705000120-1-000186/2024,1,1,NA,0.0000,3,Demais,76800,1,1,Informado,NA,PJ,NA,9.216000e+04,1.2000
NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,BRA,2024-08-01T12:26:38,NA,NA,2024-08-01T12:26:38,2024-07-26,https://pncp.gov.br/api/pncp/v1/orgaos/14986862000140/compras/2024/21/itens/7/resultados,FALSE,NA,NA,2062,Sociedade Empresária Limitada,05194502000114,ALFALAGOS LTDA.,14986862000140-1-000021/2024,7,1,NA,0.0000,3,Demais,10,1,1,Informado,NA,PJ,NA,2.900000e+01,2.9000
