"endpoint","numeroItem","descricao","materialOuServico","materialOuServicoNome","valorUnitarioEstimado","valorTotal","quantidade","unidadeMedida","orcamentoSigiloso","itemCategoriaId","itemCategoriaNome","patrimonio","codigoRegistroImobiliario","criterioJulgamentoId","criterioJulgamentoNome","situacaoCompraItem","situacaoCompraItemNome","tipoBeneficio","tipoBeneficioNome","incentivoProdutivoBasico","dataInclusao","dataAtualizacao","temResultado","imagem","aplicabilidadeMargemPreferenciaNormal","aplicabilidadeMargemPreferenciaAdicional","percentualMargemPreferenciaNormal","percentualMargemPreferenciaAdicional","ncmNbsCodigo","ncmNbsDescricao","clean_descricao","codigo_pdm"
"https://pncp.gov.br/api/pncp/v1/orgaos/00402552000126/compras/2023/17",8,"Cloreto de potássio","M","Material",283.24,283.24,1,"Quilograma ",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",2,"Homologado",4,"Sem benefício",FALSE,2023-03-22 18:09:30,2023-05-15 14:49:51,TRUE,0,NA,NA,NA,NA,NA,NA,"cloreto de potassio","5116"
"https://pncp.gov.br/api/pncp/v1/orgaos/00402552000126/compras/2023/17",9,"Acetato De Cálcio","M","Material",845.37,845.37,1,"Quilograma ",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",4,"Deserto",4,"Sem benefício",FALSE,2023-03-22 18:09:30,2023-05-15 14:49:51,FALSE,0,NA,NA,NA,NA,NA,NA,"acetato de calcio","1733"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394544000185/compras/2023/119",1,"Álcool Etílico","M","Material",20.12,1207.2,60,"Frasco 1000 ML",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",2,"Homologado",1,"Participação exclusiva para ME/EPP",FALSE,2023-03-13 18:54:23,2023-03-24 15:46:21,TRUE,0,NA,NA,NA,NA,NA,NA,"alcool etilico","2259"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394544000185/compras/2023/119",2,"Álcool Etílico","M","Material",10.3,370.8,36,"Frasco 1000 ML",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",2,"Homologado",1,"Participação exclusiva para ME/EPP",FALSE,2023-03-13 18:54:23,2023-03-30 13:16:10,TRUE,0,NA,NA,NA,NA,NA,NA,"alcool etilico","2259"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394544000185/compras/2023/116",1,"Contraste Radiológico","M","Material",53.32,56999.08,1069,"Frasco 50 ML",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",4,"Deserto",4,"Sem benefício",FALSE,2023-03-13 17:35:43,2023-03-16 11:00:06,FALSE,0,NA,NA,NA,NA,NA,NA,"contraste radiologico","5804"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394544000185/compras/2023/115",1,"Varfarina Sódica","M","Material",0.38,46740,123000,"Comprimido ",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",2,"Homologado",4,"Sem benefício",FALSE,2023-03-13 16:56:34,2023-03-29 15:42:31,TRUE,0,NA,NA,NA,NA,NA,NA,"varfarina sodica","13483"
"https://pncp.gov.br/api/pncp/v1/orgaos/15126437000143/compras/2023/197",1,"Manitol","M","Material",0,0,250,"Frasco 1000 ML",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",4,"Sem benefício",FALSE,2023-03-16 17:07:28,2023-03-16 17:07:28,FALSE,0,NA,NA,NA,NA,NA,NA,"manitol","17412"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2920",2,"Tiossulfato De Sódio","M","Material",23.8,166.6,7,"Litro ",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",4,"Deserto",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 18:56:40,2023-05-16 11:00:21,FALSE,0,NA,NA,NA,NA,NA,NA,"tiossulfato de sodio","12768"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2920",3,"Iodeto de potássio","M","Material",149.2,1044.4,7,"Grama ",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",4,"Deserto",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 18:56:40,2023-05-25 17:48:18,FALSE,0,NA,NA,NA,NA,NA,NA,"iodeto de potassio","8469"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2920",4,"Iodo","M","Material",194.9,1364.3,7,"Grama ",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",4,"Deserto",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 18:56:40,2023-05-25 17:48:19,FALSE,0,NA,NA,NA,NA,NA,NA,"iodo","12759"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2909",1,"Vacina","M","Material",29.42,29.42,1,"Frasco 50 ML",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 17:49:30,2023-05-11 17:49:30,FALSE,0,NA,NA,NA,NA,NA,NA,"vacina","15458"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2909",2,"Vacina","M","Material",48.67,2433.5,50,"Frasco-Ampola",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 17:49:30,2023-05-11 17:49:30,FALSE,0,NA,NA,NA,NA,NA,NA,"vacina","15458"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2909",3,"Vacina","M","Material",33.78,135.12,4,"Frasco 20,00 ML",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 17:49:30,2023-05-11 17:49:30,FALSE,0,NA,NA,NA,NA,NA,NA,"vacina","15458"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2909",5,"Vacina","M","Material",15.11,513.74,34,"Frasco-Ampola",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",1,"Em andamento",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 17:49:30,2023-05-11 17:49:30,FALSE,0,NA,NA,NA,NA,NA,NA,"vacina","15458"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2900",1,"Nimesulida","M","Material",0.11,220,2000,"Comprimido",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",4,"Deserto",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 14:59:20,2023-05-16 12:00:14,FALSE,0,NA,NA,NA,NA,NA,NA,"nimesulida","10083"
"https://pncp.gov.br/api/pncp/v1/orgaos/00394452000103/compras/2023/2900",2,"Probiótico","M","Material",0.83,415,500,"Cápsula",FALSE,3,"Não se aplica",NA,NA,1,"Menor preço",4,"Deserto",1,"Participação exclusiva para ME/EPP",FALSE,2023-05-11 14:59:20,2023-05-16 12:00:14,FALSE,0,NA,NA,NA,NA,NA,NA,"probiotico","19584"
