codigo_item,caracteristicas_ocds
233632,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Líquido""},{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Oral""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Petrolato""}]"
260160,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Imunoglobulina Humana""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""50 UI/ML""}]"
266532,"[{""nomeCaracteristica"":""dosageForm"",""nomeValorCaracteristica"":""Aerossol Frasco Dosificador Aerocâmara""},{""nomeCaracteristica"":""immediateContainer"",""nomeValorCaracteristica"":""frasco dosificador aerocamara""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Fenoterol Bromidrato""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""0.2 MG""}]"
266665,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Solução Injetável""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Arteméter""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""80 MG/ML""}]"
266699,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Aerossol Bucal""},{""nomeCaracteristica"":""immediateContainer"",""nomeValorCaracteristica"":""frasco com valvula dosificadora""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Budesonida""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""50 MCG""}]"
266700,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Aerossol Bucal""},{""nomeCaracteristica"":""immediateContainer"",""nomeValorCaracteristica"":""frasco com valvula dosificadora""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Budesonida""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""200 MCG""}]"
266701,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Aerossol Nasal""},{""nomeCaracteristica"":""immediateContainer"",""nomeValorCaracteristica"":""frasco com valvula dosificadora""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Budesonida""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""50 MCG""}]"
266703,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Pó Inalante""},{""nomeCaracteristica"":""immediateContainer"",""nomeValorCaracteristica"":""frasco com valvula dosificadora""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Budesonida""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MCG""}]"
266704,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Pó Inalante""},{""nomeCaracteristica"":""immediateContainer"",""nomeValorCaracteristica"":""frasco com valvula dosificadora""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Budesonida""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""200 MCG""}]"
266705,"[{""nomeCaracteristica"":""administrationRoute"",""nomeValorCaracteristica"":""Aerossol Nasal""},{""nomeCaracteristica"":""immediateContainer"",""nomeValorCaracteristica"":""frasco com valvula dosificadora""},{""nomeCaracteristica"":""activeIngredients"",""nomeValorCaracteristica"":""Budesonida""},{""nomeCaracteristica"":""strengthValue"",""nomeValorCaracteristica"":""100 MCG""}]"
