numero_controle_pncp,numero_item,aplicacao_beneficio_me_epp,incentivo_produtivo_basico,exigencia_conteudo_nacional,aplicabilidade_margem_preferencia_normal,aplicabilidade_margem_preferencia_adicional,tipo_margem_preferencia_codigo,tipo_margem_preferencia_nome,percentual_margem_preferencia_normal,percentual_margem_preferencia_adicional,aplicacao_margem_preferencia,amparo_legal_margem_preferencia_id,amparo_legal_margem_preferencia_nome,amparo_legal_margem_preferencia_descricao,aplicacao_criterio_desempate,amparo_legal_criterio_desempate_id,amparo_legal_criterio_desempate_nome,amparo_legal_criterio_desempate_descricao,percentual_desconto
45358249000101-1-001296/2024,3,,,,,,,,,,,,,,,,,,
45358249000101-1-001150/2024,1,,,,,,,,,,,,,,,,,,
45358249000101-1-000293/2024,1,,,,,,,,,,,,,,,,,,
89363642000169-1-000141/2024,1,,,,,,,,,,,,,,,,,,
01601856000185-1-000321/2025,5,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
08597121000174-1-000706/2024,1,,,,,,,,,,,,,,,,,,
15126437000143-1-002048/2024,4,,,,,,,,,,,,,,,,,,
08597121000174-1-000512/2024,1,,,,,,,,,,,,,,,,,,
16692121000181-1-000040/2024,6,,,,,,,,,,,,,,,,,,
46068425000133-1-000542/2024,1,,,,,,,,,,,,,,,,,,
46374500000194-1-003575/2024,1,,,,,,,,,,,,,,,,,,
46379400000150-1-001964/2024,9,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
46379400000150-1-001877/2024,5,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
46379400000150-1-001818/2024,4,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
46379400000150-1-001270/2024,1,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
07791947000107-1-000054/2022,4,,,,,,,,,,,,,,,,,,
06190522000180-1-000081/2024,4208466,,,,,,,,,,,,,,,,,,
06190522000180-1-000081/2024,4208467,,,,,,,,,,,,,,,,,,
02056729000105-1-000176/2024,1,,,,,,,,,,,,,,,,,,
22678874000135-1-000056/2024,6,,,,,,,,,,,,,,,,,,
00394452000103-1-012057/2024,2,,,,,,,,,,,,,,,,,,
46137410000180-1-000438/2024,1,,,,,,,,,,,,,,,,,,
92324706000127-1-000012/2024,5,,,,,,,,,,,,,,,,,,
87738530000110-1-000606/2025,2,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
87738530000110-1-000606/2025,3,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
87344016000108-1-000201/2024,7,,,,,,,,,,,,,,,,,,
88572748000100-1-000006/2024,2,,,,,,,,,,,,,,,,,,
11152150000137-1-000144/2024,1,,,,,,,,,,,,,,,,,,
16692121000181-1-000058/2024,10,,,,,,,,,,,,,,,,,,
08761124000100-1-000696/2024,9,,,,,,,,,,,,,,,,,,
46523239000147-1-000484/2024,4,,,,,,,,,,,,,,,,,,
46200846000176-1-003131/2024,1,,,,,,,,,,,,,,,,,,
46341038000129-1-000036/2024,2,,,,,,,,,,,,,,,,,,
82951351000142-1-000321/2024,4,,,,,,,,,,,,,,,,,,
19455924000100-1-000020/2024,2,,,,,,,,,,,,,,,,,,
48344014000159-1-000141/2024,8,,,,,,,,,,,,,,,,,,
10465644000109-1-000170/2024,3,,,,,,,,,,,,,,,,,,
46374500000194-1-011340/2025,1,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
04394796000165-1-000006/2024,4433099,,,,,,,,,,,,,,,,,,
91987669000174-1-000423/2024,5,,,,,,,,,,,,,,,,,,
87613535000116-1-000579/2024,9,,,,,,,,,,,,,,,,,,
88572748000100-1-000135/2024,9,,,,,,,,,,,,,,,,,,
89658025000190-1-000056/2022,9,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
09579148000105-1-000415/2025,5,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
46634291000170-1-000410/2024,10,,,,,,,,,,,,,,,,,,
46634291000170-1-000407/2024,1,,,,,,,,,,,,,,,,,,
46482840000139-1-000083/2024,1,,,,,,,,,,,,,,,,,,
51816247000111-1-000333/2024,3,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
27080530000143-1-001401/2024,1,,,,,,,,,,,,,,,,,,
42498600000171-1-002414/2024,8,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
45301652000102-1-000083/2024,3,,,,,,,,,,,,,,,,,,
42498600000171-1-001730/2024,3,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
01763606000141-1-000014/2024,6,,,,,,,,,,,,,,,,,,
18428839000190-1-000005/2024,5,,,,,,,,,,,,,,,,,,
45358249000101-1-001964/2024,9,,,,,,,,,,,,,,,,,,
01615314000161-1-000102/2024,2,,,,,,,,,,,,,,,,,,
01615314000161-1-000102/2024,3,,,,,,,,,,,,,,,,,,
59015438000196-1-000019/2024,1,,,,,,,,,,,,,,,,,,
59015438000196-1-000010/2024,1,,,,,,,,,,,,,,,,,,
46374500000194-1-001975/2024,4,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
32001836000105-1-000043/2024,8,,,,,,,,,,,,,,,,,,
87862397000109-1-000304/2025,2,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
00394502000144-1-000005/2025,1,,,,,,,,,,,,,,,,,,
24859316000100-1-000206/2024,5,,,,,,,,,,,,,,,,,,
24859316000100-1-000206/2024,6,,,,,,,,,,,,,,,,,,
01146604000103-1-000087/2024,1,,,,,,,,,,,,,,,,,,
23804149000129-1-000028/2024,2,,,,,,,,,,,,,,,,,,
45152139000199-1-000097/2024,9,,,,,,,,,,,,,,,,,,
18468033000126-1-000082/2024,1,,,,,,,,,,,,,,,,,,
13843842000157-1-000004/2024,9,,,,,,,,,,,,,,,,,,
76282656000106-1-000463/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
76282656000106-1-000462/2024,4,,,,,,,,,,,,,,,,,,
45780095000141-1-000012/2025,2,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
03184041000173-1-000018/2024,1306211,,,,,,,,,,,,,,,,,,
78640489000153-1-000293/2025,1,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
46223699000150-1-001504/2025,2,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
96291141000180-1-001331/2025,5,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
45339363000194-1-000131/2024,4,,,,,,,,,,,,,,,,,,
02493318000187-1-000010/2024,2,,,,,,,,,,,,,,,,,,
14004655000142-1-000056/2024,5,,,,,,,,,,,,,,,,,,
52359692000162-1-000031/2024,5,,,,,,,,,,,,,,,,,,
44959021000104-1-000170/2024,10,,,,,,,,,,,,,,,,,,
46523247000193-1-000068/2024,1390371,,,,,,,,,,,,,,,,,,
10725387000105-1-000019/2024,1,,,,,,,,,,,,,,,,,,
01612516000150-1-000091/2024,1,,,,,,,,,,,,,,,,,,
07738057000131-1-000031/2024,4,,,,,,,,,,,,,,,,,,
76974823000180-1-000021/2024,1347576,,,,,,,,,,,,,,,,,,
15359201000157-1-000025/2024,68414,,,,,,,,,,,,,,,,,,
76958974000144-1-000026/2024,2,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
18302299000102-1-000014/2024,2,,,,,,,,,,,,,,,,,,
46195079000154-1-000074/2024,1,,,,,,,,,,,,,,,,,,
14587933000131-1-000008/2024,1,,,,,,,,,,,,,,,,,,
07209245000172-1-000058/2024,37104,,,,,,,,,,,,,,,,,,
10552903000139-1-000008/2024,1,,,,,,,,,,,,,,,,,,
13183513000127-1-000054/2024,4,,,,,,,,,,,,,,,,,,
88600655000141-1-000280/2024,3,,,,,,,,,,,,,,,,,,
48664304000180-1-000077/2024,4,,,,,,,,,,,,,,,,,,
13650403000128-1-000063/2024,7,,,,,,,,,,,,,,,,,,
13650403000128-1-000063/2024,8,,,,,,,,,,,,,,,,,,
01641198000155-1-000006/2025,3,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
76208867000107-1-000130/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
11899413000176-1-000003/2024,1,,,,,,,,,,,,,,,,,,
