numero_controle_pncp,srp,objeto_compra,codigo_modalidade,nome_modalidade
63025530000104-1-000756/2026,FALSE,Aquisição de insumos para controle de vetores.,8,Dispensa
04384829000196-1-000151/2026,FALSE,AQUISIÇÃO DE INSUMOS DE LABORATÓRIO,8,Dispensa
95440517000108-1-000065/2026,FALSE,"Aquisição de seringa descartável graduada em unidades com agulha fixa de 8x 0,30mmc/ capacidade para até 50 unidades de insulina",8,Dispensa
16695025000197-1-000055/2026,FALSE,"Aquisição de materiais de limpeza, visando atender demanda das Seções de Saúde da 9ª Região de Polícia Militar - Nais 9ª RPM, SAS 53º BPM - Araguari/MG, e SAS 54º BPM - Ituiutaba/MG.",8,Dispensa
44763928000101-1-000095/2026,FALSE,AQUISCAO DE MATERIAL ODONTOLOGICO,8,Dispensa
01879218000120-1-000001/2026,FALSE,"Contratação de empresa especializada para aquisição de materiais de limpeza, descartáveis e higiene em geral para manutenção das atividades da Câmara Municipal de Engenheiro NavarroMG.",8,Dispensa
27080605000196-1-000315/2026,FALSE,"BENFOTIAMINA 150MG DRG
PRUCALOPRIDA 1MG Comprimido
Mirtazapina 45mg (Razapina ODT® -Marca e           Epecifíca)",8,Dispensa
63025530000104-1-000862/2026,FALSE,Aquisição de Isoflurano anestésico inalatório,8,Dispensa
46068425000133-1-000716/2026,FALSE,Aquisição de medicamentos oftalmológicos manipulados,8,Dispensa
27080605000196-1-000306/2026,FALSE,"POLIVITAMINICO+POLIMINERAIS (MARCA ABC PLUS) Comprimido
FERRO QUELATO GLICINATO 250MG/ML SUSP FRASCO
GLICINATO DE MAGNÉSIO 722,2MG + PIRIDOXINA 1MG_(Marca Específica MAGNEN B6) Comprimido
CREME RENOVADOR PARA PES (Marca CERAVE) 88GR",8,Dispensa
47970769000104-1-000136/2026,FALSE,AQUISIÇÃO DE MEDICAMENTOS PARA ATENDIMENTO DE DEMANDAS JUDICIAIS COM DISPENSA DE LICITAÇÃO EMERGENCIAL SEM DISPUTA.,8,Dispensa
07954480000179-1-006993/2026,FALSE,MATERIAL HOSPITALAR,8,Dispensa
46068425000133-1-000718/2026,FALSE,Aquisição de Ácidos Graxos Essenciais (A.G.E),8,Dispensa
27080605000196-1-000292/2026,FALSE,"SILYBUM MARIANUM L. GAERTH 200MG CAP
SYMPHYTUM OFFICINALE L 350mg/g creme 
Colecalciferol (vitamina D3) 5000UI comp.",8,Dispensa
07954480000179-1-006658/2026,FALSE,AQUISIÇÃO - MATERIAL DE CONSUMO - MATERIAL QUÍMICO,8,Dispensa
46068425000133-1-000719/2026,FALSE,Aquisição de Lidocaína,8,Dispensa
00697295007290-1-000004/2026,FALSE,AQ.DE INS.ODONTOLOGIA-NEUROLOGIA/PGGM,8,Dispensa
87738530000110-1-000581/2026,FALSE,Aquisicao de medicamentos para doacao a paciente em situacao de vulnerabilidade social    Farmacias Associadas    Rec. Livre,8,Dispensa
11206680000110-1-000034/2026,FALSE,"DISPENSA DE LICITAÇÃO PARA A AQUISIÇÃO DE MEDICAMENTO, DESTINADO AO TRATAMENTO DE PACIENTE ACOLHIDO NO SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA CRIANÇAS E ADOLESCENTES - SAICA.",8,Dispensa
46377800000127-1-000961/2026,FALSE,Aquisição de material para higiene pessoal e outros,8,Dispensa
04214419000105-1-000041/2026,FALSE,"Seleção de propostas adicionais mais vantajosas, visando a aquisição de  reagentes e materiais hospitalares, destinados a Agência Transfusional do Hospital Municipal Miriam Borges, conforme solicitação da Secretaria Municipal de Saúde do Município de Luís Eduardo Magalhães/BA",8,Dispensa
00394452000103-1-005222/2026,FALSE,Aquisição de medicamentos de uso veterinário e medidas profiláticas,8,Dispensa
13792329000184-1-000045/2026,FALSE,Aquisição emergencial do medicamento CARBONATO DE CÁLCIO,8,Dispensa
46523239000147-1-000120/2026,FALSE,"AQUISIÇÃO DE DUPILUMABE PARA ATENDIMENTO DE DETERMINAÇÃO
JUDICIAL",8,Dispensa
46410775000136-1-000331/2026,FALSE,"Contratação de pessoa jurídica através de dispensa de licitação, para fornecimento parcelado de correlatos, para a Central de Saúde e Postos de Saúde da Família, os quais serão destinados ao atendimentos de pacientes de todo o Município de Pedreira/SP, com fundamento no inciso VIII, do artigo 75, da Lei Federal nº 14.133/2021, em atendimento a ODS 3 - Saúde e Bem Estar.",8,Dispensa
12014954000132-1-000015/2026,FALSE,aquisição de produtos manipulados em farmácia com o objetivo de uso contínuo em exames de colposcopia.,8,Dispensa
