numero_controle_pncp,srp,objeto_compra,codigo_modalidade,nome_modalidade,compra_judicial
47970769000104-1-000136/2026,False,AQUISIÇÃO DE MEDICAMENTOS PARA ATENDIMENTO DE DEMANDAS JUDICIAIS COM DISPENSA DE LICITAÇÃO EMERGENCIAL SEM DISPUTA.,8,Dispensa,True
46523239000147-1-000120/2026,False,"AQUISIÇÃO DE DUPILUMABE PARA ATENDIMENTO DE DETERMINAÇÃO
JUDICIAL",8,Dispensa,True
63762025000142-1-000022/2026,False,"[LICITANET] - AQUISIÇÃO DE MEDICAMENTOS JUDICIAIS DE ACORDO COM A ORDEM JUDICIAL, visando atender as necessidades dos pacientes dando continuidade ao fornecimento de medicamentos sem interromper tratamento dos mesmos, por um período estimado de 06 (seis) meses.",8,Dispensa,True
18240119000105-1-000051/2026,False,"[Portal de Compras Públicas] - Aquisição emergencial de medicamentos, destinados a atender a um processo judicial da Secretaria Municipal de Saúde do Município de Varginha/MG e as emergências da Unidade de Pronto Atendimento - UPA visando garantir a continuidade do tratamento dos pacientes atendidos pela rede pública municipal.",8,Dispensa,True
46177531000155-1-000087/2026,False,AQUISICAO DE MEDICAMENTOS PARA ATENDER DETERMINACAO JUDICIAL,8,Dispensa,True
57252971000146-1-000034/2026,False,AQUISIÇÃO DE MEDICAMENTO PARA ATENDER PACIENTE INICIAL DE DEMANDA JUDICIAL.,8,Dispensa,True
39223581000166-1-000022/2026,False,"FORNECIMENTO DE EMERGENCIAL DO MEDICAMENTO XULTOPHY 100UI/ML + 3,6 MG/ML (INSULINA DEGLUTECA + LIRAGLUTIDA), SOLUÇÃO INJETÁVEL EM SERINGA (CANETA) DE 3 ML, DESTINADA AO CUMPRIMENTO DE DECISÃO JUDICIAL PROFERIDA NOS AUTOS DO PROCESSO Nº 0805356-54.2025.8.19.0068 (PRINCIPAL) E PROCESSO N° 0063350-83.2025.8.19.0000 (AGRAVO DE INSTRUMENTO), EM FAVOR DO PACIENTE J. DA S. D.",8,Dispensa,True
57252971000146-1-000106/2026,False,"Aquisição de produtos a base de cannabis importados, para atender as demandas judiciais, nos termos da tabela abaixo, na qual também estão indicados os valores unitários e o valor global, conforme condições e exigências estabelecidas neste instrumento",8,Dispensa,True
04394880000189-1-000024/2026,False,"Abertura de processo de acordo com mandados de segurança impetrado pelo ministério público do Estado de Goiás,(em anexo no processo) solicitamos a aquisição de medicamentos e insumos para os pacientes judicializados.
",8,Dispensa,True
03517102000177-1-000031/2026,False,"CDS/SRI/SES-AQUISIÇÃO DE MEDICAMENTOS PARA ATENDER AÇÃO JUDICIAL
ESPÉCIE DOCUMENTAL - 4131",8,Dispensa,True
