marca,quantidade
(ACIDO FOLICO) 5MG C,1
(B1) 5MG/ML SOL INJ,1
(P) 10MG/ML CX C/25,1
*C1* 250MG/5ML CX C/,1
*C1*25 MG COM REV CT,1
- CLOMIPRAMINA 25 MG,1
/ PROLIA 60MG SER PR,1
"0,50 - AMP 1ML",1
004-0035,1
0084-19,1
01 CANETA INJETAVEL,1
01 litro,1
1  litro,1
1 - BIOLAB / 2 - HIP,1
1 APL+ 1 IMPLANTE,1
1 BIS. X 100G - RMS,3
1 BIS. X 15G - RMS 1,4
"1 BIS. X 3,5G - RMS",2
1 BL. X 10 - RMS 102,1
1 FRS/AMP,1
1 FT. X 5ML - RMS 10,1
1 LITRO,9
1 LITRO - VÁLVULA PU,1
1 LITRO 70%,1
1 LITRO 70º,1
1 LITRO/LIQUIDO/70%,1
1 LITROS/SAFRA,1
1 LT,2
1 Lts,1
1 emb c/ 2 fr 10 mg/,1
1 emb c/1 fr 10 mg/m,1
1 litro,5
"1,5 MUI COM REV CT B",1
1. Unomedical a/s,1
1..000.000 UI Cx c/1,1
"1.0 - 7,5 ML",1
1.000.000 UI CX c/10,1
1.000.000 UI Cx c/10,1
1.000.000 Ui Cx c/10,1
1.0038.0043.003-4,1
1.0089.0202.061-8,1
1.0235.0458.019-6,1
1.0235.0482.015-4,1
1.0235.0528.008-0,1
1.0235.0532.002-3,1
1.0235.0577.004-5,1
1.0235.0655.002-2,1
1.0235.0663.015-8,3
1.0235.0754.009-8,1
1.0235.0885.002-3,2
1.0235.0988.004-1,1
1.0235.1073.011-0,1
1.0235.1128.002-1,1
1.0235.1260.002-8,1
1.0235.1263.007-5,1
1.0235.1342.010-4,3
1.037.004.420.07-6,1
1.0497.0155.003-1,1
1.0497.0289.001-2,1
1.0497.1317.001-6,1
1.0497.1489.003-9,1
1.0535.0160.003-1,1
1.0974.0046.011-2,1
1.1085.0043.001-1,1
1.1343.0159.002-4,1
1.1343.0171.002-1,1
1.1343.0200.002-6,1
1.1637.0164.002-2,1
1.1819.0311.006-5,1
1.200.000 UI PO SUS,1
1.200.000ui,2
1.2352.0189.005-5,1
1.2352.0273.005-1,1
1.2568.0052.002-9,1
1.2568.0146.003-8,1
1.2568.0255.035-9,2
1.3348.0001.004-2,1
1.3569.0015.004-1,1
1.3569.0614.008-0,1
1.4107.0006.006-3,1
1.4107.0006.019-5,1
1.4761.0020.001-0,1
1.5423.0243.004-3,1
1.5584.0096.003-5,1
1.5584.0102.001-1,1
1.5584.0141.006-3,1
1.5584.0194.001-1,2
1.5584.0194.003-8,1
1.5584.0254.001-7,1
1.5584.0526.020-1,1
1.5592.0004.024-0,1
1.5626.0027.003-0,1
1.7817.0060.011-2,1
1.7817.0775.002-0,1
1.7817.0867.003-9,1
1.7817.0903.006-8,1
1.7817.0906.005-6,1
1.7817.0910.010-4,1
