numero_controle_pncp,numero_item,ni_fornecedor,codigo_item_catalogo,id_compra,id_compra_item,codigo_item_catalogo_tbl_itens,codigo_item_catalogo_tbl_marcas,quantidade_homologada,valor_unitario_homologado,marca,descricao_detalhada_item,sigla_unidade_fornecimento,nome_unidade_fornecimento,sigla_unidade_medida,nome_unidade_medida,data_insercao
00000368000150-1-000039/2025,3,31401798000107,357788,99019205900192025,9901920590019202500003,269888,269888,11,167.01,DFL,"MEPIVACAÍNA CLORIDRATO, APRESENTAÇÃO ASSOCIADA COM EPINEFRINA, DOSAGEM 2% +1:100.000",TBTE,TUBETE,ML,NA,2026-06-29T13:08:56Z
00000368000150-1-000039/2025,4,31401798000107,357788,99019205900192025,9901920590019202500004,357788,357788,4,164.65,DFL,"MEPIVACAÍNA CLORIDRATO, CONCENTRAÇÃO 3%, FORMA FARMACÊUTICA SOLUÇÃO INJETÁVEL",TBTE,TUBETE,ML,NA,2026-06-29T13:08:56Z
00000368000150-1-000039/2025,5,31401798000107,272913,99019205900192025,9901920590019202500005,272913,272913,15,15.57,DFL,"BENZOCAÍNA, CONCENTRAÇÃO 20%, USO GEL TÓPICO",POTE,POTE,G,NA,2026-06-29T13:08:56Z
00000368000150-1-000039/2025,10,31401798000107,334369,99019205900192025,9901920590019202500010,271052,271052,30,42.5,IODONTOSUL,"BICARBONATO DE SÓDIO, APRESENTAÇÃO PÓ",SAC,SACHÊ,G,NA,2026-06-29T13:08:56Z
00000368000150-1-000046/2024,2,08849206000100,357788,99019205900172024,9901920590017202400002,357788,357788,25,159,DFL,"MEPIVACAÍNA CLORIDRATO, CONCENTRAÇÃO 3%, FORMA FARMACÊUTICA SOLUÇÃO INJETÁVEL",TBTE,TUBETE,ML,NA,2026-06-29T13:08:56Z
00000368000150-1-000046/2024,9,08849206000100,272913,99019205900172024,9901920590017202400009,272913,272913,20,13,DFL,"BENZOCAÍNA, CONCENTRAÇÃO 20%, USO GEL TÓPICO",POTE,POTE,G,NA,2026-06-29T13:08:56Z
00000368000150-1-000046/2024,10,28933805000107,457163,99019205900172024,9901920590017202400010,341174,341174,150,12.9,INDALABOR,"CLOREXIDINA DIGLUCONATO, CONCENTRAÇÃO 0,12%, FORMA FARMACÊUTICA COLUTÓRIO",EMB,EMBALAGEM,UN,NA,2026-06-29T13:08:56Z
00000368000150-1-000110/2025,2,42424189000190,428582,99019206000222025,9901920600022202500002,481012,481012,60,4.77,Conforme TR,"Álcool Etílico Limpeza De Ambientes tipo: etílico, aplicação: limpeza, características adicionais: líquido, concentração: 70%",L,LITRO,NA,NA,2026-06-29T13:08:56Z
00001727000193-1-000041/2024,1,11737090000114,410023,92672606900112024,9267260690011202400001,389957,389957,1,725,DIVERSOS,"DIPIRONA SÓDICA, APRESENTAÇÃO ASSOCIADA À ESCOPOLAMINA BUTILBROMETO,COMPOSIÇÃO HOMATROPINA BUTILBROMETO E HIOSCIAMINA BROMIDRATO, CONCENTRAÇÃO 300MG + 6,5 MCG + 1 MG + 104 MCG",COMPR,COMPRIMIDO,NA,NA,2026-06-29T13:08:56Z
00038174000143-1-000036/2023,1,34223536000198,267511,15404005000282023,1540400500028202300001,292402,292402,500,7.2,HIPOLABOR,"AMINOFILINA, DOSAGEM 24 MG/ML, FORMA FARMACÊUTICA SOLUÇÃO INJETÁVEL",AM,AMPOLA,ML,NA,2026-06-29T13:08:56Z
00038174000143-1-000036/2023,6,28591670000149,401891,15404005000282023,1540400500028202300006,337444,337444,85,14.88,FRASCO 20ML,"CIANOCOBALAMINA, CONCENTRAÇÃO 7,5 MG/ML, FORMA FARMACÊUTICA SOLUÇÃO INJETÁVEL",FR,FRASCO,ML,NA,2026-06-29T13:08:56Z
00038174000143-1-000036/2023,7,39248098000136,412432,15404005000282023,1540400500028202300007,448699,448699,810,4.15,EQUIPLEX,"CLORETO DE SÓDIO, CONCENTRAÇAO 0,9 %, FORMA FARMACEUTICA SOLUÇÃO INJETÁVEL",AM,AMPOLA,ML,NA,2026-06-29T13:08:56Z
00043711000143-1-000060/2025,2,19940951000179,269943,19300806000502025,1930080600050202500002,429225,429225,60,4.8,MISTER BRILHO,"Álcool Etílico Limpeza De Ambientes tipo: etílico hidratado, características adicionais: gel, concentração: 70%",FR,FRASCO,ML,NA,2026-06-29T13:08:56Z
00043711000143-1-000060/2025,3,19940951000179,428582,19300806000502025,1930080600050202500003,481012,481012,200,5.55,MISTER BRILHO,"Álcool Etílico Limpeza De Ambientes tipo: etílico, aplicação: limpeza, características adicionais: líquido, concentração: 70%",L,LITRO,NA,NA,2026-06-29T13:08:56Z
00059311000126-1-000398/2025,1,11467934000154,283156,19402806000402025,1940280600040202500001,283156,283156,60,5,SANOFI,"Orfenadrina Citrato composição: associada com dipirona e cafeína, dosagem: 35mg + 300mg + 50mg",COMPR,COMPRIMIDO,NA,NA,2026-06-29T13:08:56Z
00059311000126-1-000398/2025,2,11467934000154,267205,19402806000402025,1940280600040202500002,267205,267205,30,4,NEO QUIMICA,"Dipirona Sódica dosagem: 500, apresentação: solução oral (gotas)",FR,FRASCO,ML,NA,2026-06-29T13:08:56Z
00059311000126-1-000398/2025,3,11467934000154,271140,19402806000402025,1940280600040202500003,271140,271140,20,17.99,EMS,"Rifamicina dosagem: 10, indicação: spray",FR,FRASCO,ML,NA,2026-06-29T13:08:56Z
00059311000126-1-000398/2025,6,11467934000154,401411,19402806000402025,1940280600040202500006,401411,401411,20,40.01,BOEHRINGER,"Óxido De Zinco princípio ativo: associado com vitamina a + vitamina d, concentração: 100 mg + 1.000 ui + 400, forma farmacêutica: pomada",BIS,BISNAGA,G,NA,2026-06-29T13:08:56Z
00059311000126-1-000398/2025,7,11467934000154,397074,19402806000402025,1940280600040202500007,397074,397074,50,21,HERTZ,"Lidocaína Cloridrato composição: associada ao cloreto de benzetônio, concentração: 21 mg + 1,33, forma farmaceutica: spray",FR,FRASCO,ML,NA,2026-06-29T13:08:56Z
00059311000126-1-000398/2025,8,11467934000154,267712,19402806000402025,1940280600040202500008,267712,267712,30,9.99,TEUTO,Omeprazol concentração: 20,CAPS,CÁPSULA,NA,NA,2026-06-29T13:08:56Z
00059311000126-1-000398/2025,9,11467934000154,604679,19402806000402025,1940280600040202500009,604679,604679,49,1.9,UNIÃO QUIMICA,"Hidróxido De Alumínio composição: assoc. ao hidróxido magnésio e carbonato de cálcio, concentração: 35,6 mg/g + 37 mg/g + 47, forma farmaceutica: pó efervescente",SAC,SACHÊ,G,NA,2026-06-29T13:08:56Z
00059311000126-1-000398/2025,10,11467934000154,349475,19402806000402025,1940280600040202500010,349475,349475,30,16.05,NEO QUIMICA,"Salicilato De Metila composição: associado à ess. terebentina, cânfora e mentol, concentração: 0,02 ml + 0,05 ml + 30 mg + 5, forma farmacêutica: pomada",BIS,BISNAGA,G,NA,2026-06-29T13:08:56Z
00059311000126-1-000554/2025,5,07321252000161,469042,19401806000502025,1940180600050202500005,291893,291893,5,1.25,VENEZA,"Sal tipo: refinado, aplicação: alimentícia, características adicionais: teor mínimo cloreto de sódio 98,5%",KG,QUILOGRAMA,NA,NA,2026-06-29T13:08:56Z
00059311000126-1-000566/2023,5,41835803000143,445578,19407505000082023,1940750500008202300005,443454,443454,1000,10.5,START,"ÁLCOOL ETÍLICO, TEOR ALCOÓLICO 70% P/P (70 °GL), COMPOSIÇÃO BÁSICA GLICERINADO, CARACTERÍSTICAS ADICIONAIS COM BICO DOSADOR",FR,FRASCO,ML,NA,2026-06-29T13:08:56Z
00059311000126-1-000704/2025,6,05610606000162,469042,19404506001002025,1940450600100202500006,291893,291893,60,2,...,"Sal aplicação: alimentícia, características adicionais: teor mínimo cloreto de sódio 98,5%, tipo: refinado",UN,UNIDADE,NA,NA,2026-06-29T13:08:56Z
00070532000103-1-000117/2024,4,45812327000104,459247,92612006000802024,9261200600080202400004,438787,438787,20,15.41,ACS,"Cloreto De Sódio aspecto físico: pó cristalino branco ou cristais incolores, composição química: nacl anidro, número de referência química: cas 7647-14-5, peso molecular: 58,45, pureza mínima: pureza mínima de 99%",KG,QUILOGRAMA,NA,NA,2026-06-29T13:08:56Z
00070532000103-1-000117/2024,6,45812327000104,445035,92612006000802024,9261200600080202400006,452749,452749,2,25.85,ACS,"Sulfato De Magnésio aspecto físico: cristal incolor, brilhante, inodoro, amargo, característica adicional: reagente testado em cultura de células, fórmula química: mgso4 anidro, massa molecular: 120.37, número de referência química: cas 7487-88-9, teor de pureza: pureza mínima de 98%",KG,QUILOGRAMA,NA,NA,2026-06-29T13:08:56Z
00070532000103-1-000117/2024,8,45812327000104,313689,92612006000802024,9261200600080202400008,461147,461147,1,14.22,ACS,"Solução Tampão composição: fosfato dissódico e fosfato de potássio monobásico, potencial hidrogeniônico: ph 7,0",FR,FRASCO,ML,NA,2026-06-29T13:08:56Z
00082024000137-1-000033/2024,1,03157268000120,482835,97420005901182024,9742000590118202400001,456330,456330,31000,12.35,PRÓPRIA,"ÁCIDO CÍTRICO, ASPECTO FÍSICO PÓ, FÓRMULA QUÍMICA C6H8O7, PESO MOLECULAR192,12 G/MOL, CARACTERÍSTICA ADICIONAL PADRÃO ANALÍTICO DE REFERÊNCIA, NÚMERODE REFERÊNCIA QUÍMICA* CAS 77-92-9",KG,QUILOGRAMA,NA,NA,2026-06-29T13:08:56Z
00082024000137-1-000033/2024,2,03157268000120,482835,97420005901182024,9742000590118202400002,456330,456330,10000,12.35,PRÓPRIA,"ÁCIDO CÍTRICO, ASPECTO FÍSICO PÓ, FÓRMULA QUÍMICA C6H8O7, PESO MOLECULAR192,12 G/MOL, CARACTERÍSTICA ADICIONAL PADRÃO ANALÍTICO DE REFERÊNCIA, NÚMERODE REFERÊNCIA QUÍMICA* CAS 77-92-9",KG,QUILOGRAMA,NA,NA,2026-06-29T13:08:56Z
00082024000137-1-000064/2025,1,03157268000120,482835,97420005900622025,9742000590062202500001,483494,483494,67500,12.8,PRÓPRIA/PRÓPRIO,"ÁCIDO CÍTRICO, ASPECTO FÍSICO CRISTAL INCOLOR, INODORO, SABOR ÁCIDO AGRADÁVEL,FÓRMULA QUÍMICA C6H8O7 ANIDRO, PESO MOLECULAR 192,12 G/MOL, NÚMERO DEREFERÊNCIA QUÍMICA* CAS 77-92-9, CARACTERÍSTICAS ADICIONAIS USO CULINÁRIO",KG,QUILOGRAMA,NA,NA,2026-06-29T13:08:56Z
00082024000137-1-000064/2025,2,03157268000120,482835,97420005900622025,9742000590062202500002,483494,483494,22500,12.8,PRÓPRIA/PRÓPRIO,"ÁCIDO CÍTRICO, ASPECTO FÍSICO CRISTAL INCOLOR, INODORO, SABOR ÁCIDO AGRADÁVEL,FÓRMULA QUÍMICA C6H8O7 ANIDRO, PESO MOLECULAR 192,12 G/MOL, NÚMERO DEREFERÊNCIA QUÍMICA* CAS 77-92-9, CARACTERÍSTICAS ADICIONAIS USO CULINÁRIO",KG,QUILOGRAMA,NA,NA,2026-06-29T13:08:56Z
