marca_possivel,marca_normalizada,categorias_nao_genericas,laboratorios,quantidade_apresentacoes,tambem_aparece_como_generico
A SAÚDE DA MULHER,A SAUDE DA MULHER,Novo,EMS S/A,1,nao
AAS,AAS,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. | SANOFI MEDLEY FARMACÊUTICA LTDA.,6,nao
AAS PROTECT,AAS PROTECT,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. | SANOFI MEDLEY FARMACÊUTICA LTDA.,2,nao
ABC,ABC,Similar,KLEY HERTZ FARMACEUTICA S.A,2,nao
ABCLER ABNAT,ABCLER ABNAT,Específico,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.,1,nao
ABELCET,ABELCET,Novo,TEVA FARMACÊUTICA LTDA.,1,nao
ABERALGINA,ABERALGINA,Similar,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.,4,nao
ABEVMY,ABEVMY,Biológico,BIOCON BIOLOGICS DO BRASIL LTDA,2,nao
ABLOK,ABLOK,Similar,BIOLAB SANUS FARMACEUTICA LTDA,3,nao
ABLOK PLUS,ABLOK PLUS,Similar,BIOLAB SANUS FARMACEUTICA LTDA,7,nao
ABMETHA,ABMETHA,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
ABRAXANE,ABRAXANE,Novo,UNITED MEDICAL LTDA,1,nao
ABRETIA,ABRETIA,Similar,FARMOQUÍMICA S/A,2,nao
ABRIFIT,ABRIFIT,Fitoterápico,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
ABRILAR,ABRILAR,Fitoterápico,FARMOQUÍMICA S/A,3,nao
ABRYSVO,ABRYSVO,Biológico,PFIZER BRASIL LTDA,4,nao
ACECLO-GRAN,ACECLO GRAN,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,1,nao
ACEFLOR,ACEFLOR,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,8,nao
ACERATUM,ACERATUM,Similar,CELLERA FARMACEUTICA S.A.,1,nao
ACERTALIX,ACERTALIX,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,4,nao
ACERTANLO,ACERTANLO,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,6,nao
