codigo_br,desc_item,codigo_pdm,desc_pdm,numeroCaracteristica,nomeCaracteristica,nomeValorCaracteristica,siglaUnidadeMedida
354314,"354314 - Cimetidina, Concentração:400 MG",348,Cimetidina,6,Concentração,400,MG
340167,"340167 - Cimetidina, Concentração:150 MG/ML, Forma Farmaceutica:Solução Injetável",348,Cimetidina,6,Concentração,150,MG/ML
340167,"340167 - Cimetidina, Concentração:150 MG/ML, Forma Farmaceutica:Solução Injetável",348,Cimetidina,7,Forma Farmaceutica,Solução Injetável,NA
267627,"267627 - Cimetidina, Dosagem:200 MG",348,Cimetidina,3,Dosagem,200,MG
448843,"448843 - Ampicilina, Concentração:50 MG/ML, Forma Farmaceutica:Suspensão Oral",349,Ampicilina,8,Concentração,50,MG/ML
448843,"448843 - Ampicilina, Concentração:50 MG/ML, Forma Farmaceutica:Suspensão Oral",349,Ampicilina,9,Forma Farmaceutica,Suspensão Oral,NA
442727,"442727 - Ampicilina, Concentração:500 MG, Forma Farmaceutica:Pó P/ Solução Injetável",349,Ampicilina,8,Concentração,500,MG
442727,"442727 - Ampicilina, Concentração:500 MG, Forma Farmaceutica:Pó P/ Solução Injetável",349,Ampicilina,9,Forma Farmaceutica,Pó P/ Solução Injetável,NA
442689,"442689 - Ampicilina, Composição:Associada Ao Sulbactam, Concentração:2 G + 1 G, Forma Farmaceutica:Pó P/ Solução Injetável",349,Ampicilina,4,Composição,Associada Ao Sulbactam,NA
442689,"442689 - Ampicilina, Composição:Associada Ao Sulbactam, Concentração:2 G + 1 G, Forma Farmaceutica:Pó P/ Solução Injetável",349,Ampicilina,8,Concentração,2 G + 1,G
442689,"442689 - Ampicilina, Composição:Associada Ao Sulbactam, Concentração:2 G + 1 G, Forma Farmaceutica:Pó P/ Solução Injetável",349,Ampicilina,9,Forma Farmaceutica,Pó P/ Solução Injetável,NA
270556,"270556 - Ampicilina, Apresentação:Associada Com Sulbactam, Dosagem:1g + 500mg, Tipo Uso:Injetável",349,Ampicilina,2,Apresentação,Associada Com Sulbactam,NA
270556,"270556 - Ampicilina, Apresentação:Associada Com Sulbactam, Dosagem:1g + 500mg, Tipo Uso:Injetável",349,Ampicilina,3,Dosagem,1g + 500mg,NA
270556,"270556 - Ampicilina, Apresentação:Associada Com Sulbactam, Dosagem:1g + 500mg, Tipo Uso:Injetável",349,Ampicilina,5,Tipo Uso,Injetável,NA
269359,"269359 - Ampicilina, Dosagem:250 MG",349,Ampicilina,3,Dosagem,250,MG
268207,"268207 - Ampicilina, Dosagem:1 G, Tipo Uso:Injetável",349,Ampicilina,3,Dosagem,1,G
268207,"268207 - Ampicilina, Dosagem:1 G, Tipo Uso:Injetável",349,Ampicilina,5,Tipo Uso,Injetável,NA
267515,"267515 - Ampicilina, Dosagem:500 MG",349,Ampicilina,3,Dosagem,500,MG
296272,"296272 - Aminofilina, Dosagem:240 MG/ML, Forma Farmacêutica:Solução Oral-Gotas",351,Aminofilina,3,Dosagem,240,MG/ML
296272,"296272 - Aminofilina, Dosagem:240 MG/ML, Forma Farmacêutica:Solução Oral-Gotas",351,Aminofilina,6,Forma Farmacêutica,Solução Oral-Gotas,NA
292402,"292402 - Aminofilina, Dosagem:24 MG/ML, Forma Farmacêutica:Solução Injetável",351,Aminofilina,3,Dosagem,24,MG/ML
292402,"292402 - Aminofilina, Dosagem:24 MG/ML, Forma Farmacêutica:Solução Injetável",351,Aminofilina,6,Forma Farmacêutica,Solução Injetável,NA
269810,"269810 - Aminofilina, Dosagem:200 MG",351,Aminofilina,3,Dosagem,200,MG
267511,"267511 - Aminofilina, Dosagem:100 MG",351,Aminofilina,3,Dosagem,100,MG
448693,"448693 - Butoconazol, Concentração:20 MG/G, Forma Farmacêutica:Creme Vaginal, Adicional:Com Aplicadores",352,Butoconazol,5,Concentração,20,MG/G
448693,"448693 - Butoconazol, Concentração:20 MG/G, Forma Farmacêutica:Creme Vaginal, Adicional:Com Aplicadores",352,Butoconazol,6,Forma Farmacêutica,Creme Vaginal,NA
448693,"448693 - Butoconazol, Concentração:20 MG/G, Forma Farmacêutica:Creme Vaginal, Adicional:Com Aplicadores",352,Butoconazol,7,Adicional,Com Aplicadores,NA
397649,"397649 - Vildagliptina, Concentração:100 MG",358,Vildagliptina,5,Concentração,100,MG
362802,"362802 - Vildagliptina, Concentração:50 MG",358,Vildagliptina,5,Concentração,50,MG
393313,"393313 - Zanamivir, Concentração:5 MG, Forma Farmacêutica:Cápsula Pó Inalante, Característica Adicional:Com Aplicador",359,Zanamivir,6,Concentração,5,MG
393313,"393313 - Zanamivir, Concentração:5 MG, Forma Farmacêutica:Cápsula Pó Inalante, Característica Adicional:Com Aplicador",359,Zanamivir,7,Forma Farmacêutica,Cápsula Pó Inalante,NA
393313,"393313 - Zanamivir, Concentração:5 MG, Forma Farmacêutica:Cápsula Pó Inalante, Característica Adicional:Com Aplicador",359,Zanamivir,8,Característica Adicional,Com Aplicador,NA
377008,"377008 - Zanamivir, Concentração:5 MG, Forma Farmacêutica:Pó Inalante, Característica Adicional:Com Aplicador",359,Zanamivir,6,Concentração,5,MG
377008,"377008 - Zanamivir, Concentração:5 MG, Forma Farmacêutica:Pó Inalante, Característica Adicional:Com Aplicador",359,Zanamivir,7,Forma Farmacêutica,Pó Inalante,NA
377008,"377008 - Zanamivir, Concentração:5 MG, Forma Farmacêutica:Pó Inalante, Característica Adicional:Com Aplicador",359,Zanamivir,8,Característica Adicional,Com Aplicador,NA
268513,"268513 - Oxacilina, Dosagem:500 MG, Composição:Injetável",360,Oxacilina,3,Dosagem,500,MG
268513,"268513 - Oxacilina, Dosagem:500 MG, Composição:Injetável",360,Oxacilina,4,Composição,Injetável,NA
396562,"396562 - Hidromorfona, Composição:Cloridrato, Concentração:32 MG, Forma Farmacêutica:Liberação Gradual",362,Hidromorfona,3,Composição,Cloridrato,NA
396562,"396562 - Hidromorfona, Composição:Cloridrato, Concentração:32 MG, Forma Farmacêutica:Liberação Gradual",362,Hidromorfona,5,Concentração,32,MG
396562,"396562 - Hidromorfona, Composição:Cloridrato, Concentração:32 MG, Forma Farmacêutica:Liberação Gradual",362,Hidromorfona,6,Forma Farmacêutica,Liberação Gradual,NA
396561,"396561 - Hidromorfona, Composição:Cloridrato, Concentração:16 MG, Forma Farmacêutica:Liberação Gradual",362,Hidromorfona,3,Composição,Cloridrato,NA
396561,"396561 - Hidromorfona, Composição:Cloridrato, Concentração:16 MG, Forma Farmacêutica:Liberação Gradual",362,Hidromorfona,5,Concentração,16,MG
396561,"396561 - Hidromorfona, Composição:Cloridrato, Concentração:16 MG, Forma Farmacêutica:Liberação Gradual",362,Hidromorfona,6,Forma Farmacêutica,Liberação Gradual,NA
396560,"396560 - Hidromorfona, Composição:Cloridrato, Concentração:8 MG, Forma Farmacêutica:Liberação Gradual",362,Hidromorfona,3,Composição,Cloridrato,NA
396560,"396560 - Hidromorfona, Composição:Cloridrato, Concentração:8 MG, Forma Farmacêutica:Liberação Gradual",362,Hidromorfona,5,Concentração,8,MG
396560,"396560 - Hidromorfona, Composição:Cloridrato, Concentração:8 MG, Forma Farmacêutica:Liberação Gradual",362,Hidromorfona,6,Forma Farmacêutica,Liberação Gradual,NA
628716,"628716 - Aciclovir, Concentração:40 MG/ML, Forma Farmaceutica:Suspensão Oral",363,Aciclovir,8,Concentração,40,MG/ML
