"endpoint","numeroItem","codigo_pdm","descricao","unidadeMedida"
"https://pncp.gov.br/api/pncp/v1/orgaos/46599809000182/compras/2022/29/itens",4,"2595","TESTE IMUNOENSAIO PARA A DETECÇÃO DE ANTICORPOS CONTRA O ANTÍGENO DE SUPERFÍCIE DO VÍRUS DA HEPATITE B (ANTI HBS) EM SORO OU PLASMA HUMANO, POR TECNOLOGIA CLIA/ECLIA.","UND"
"https://pncp.gov.br/api/pncp/v1/orgaos/01613956000121/compras/2024/19/itens",2,"2259","ALCOOL ETÍLICO 92 GRAUS C/1.000 ML X 12 UNID.","Caixa"
"https://pncp.gov.br/api/pncp/v1/orgaos/16886871000194/compras/2024/127/itens",8,"10676","UNGUENTO. CICATRIZANTE, REPELENTE, ECTOPARASITICIDA; COMPOSTO POR PERMETRINA, BUTÓXIDO DE PIPERONILA, OXIDO DE ZINCO; FRASCO DE 200G.","UNIDADE"
"https://pncp.gov.br/api/pncp/v1/orgaos/46172888000140/compras/2024/269/itens",9,"8428","CANETA DE INSULINA APIDRA SOLOSTAR 3ML (Pedido Judicial)","FRS"
"https://pncp.gov.br/api/pncp/v1/orgaos/88566872000162/compras/2023/3/itens",2,"12315","SULFAMETOXAZOL + TRIMETOPRIMA    200MG + 40MG /5ML. SUSPENSÃO. FRASCO COM 100ML
SULFAMETOXAZOL + TRIMETOPRIMA    200MG + 40MG /5ML.","FRASCO(S) (FR)"
"https://pncp.gov.br/api/pncp/v1/orgaos/48344014000159/compras/2023/51/itens",5,"6143","DEXAMETASONA 2MG/ML SOL INJ CT AMP VD INC X 1ML","Amarrado"
"https://pncp.gov.br/api/pncp/v1/orgaos/45132495000140/compras/2023/213/itens",8,"2587","LACOSAMIDA 200MG COMPRIMIDO REVESTIDO","COM"
"https://pncp.gov.br/api/pncp/v1/orgaos/44723674000190/compras/2024/85/itens",6,"30049","RAÇÃO PARA GATOS FILHOTES. COMPOSIÇÃO: Farinha de vísceras de frango, proteína isolada de suíno, farelo de glúten de milho 60*, milho integral moído*, quirera de arroz, polpa de beterraba, gordura de frango, óleo de peixe, aditivo acidificante, antioxidantes BHA e BHT, cloreto de potássio, cloreto de sódio, extrato de yucca (0,05%), DL-metionina, hidrolisado de frango, levedura seca de cervejaria, L-lisina, bentonita, mananoligossacarídeos (0,2%), taurina, vitamina A, vitamina B12, vitamina C, vitamina D3, vitamina E, vitamina K3, ácido fólico, ácido pantotênico, biotina, cloreto de colina, niacina, piridoxina, riboflavina, tiamina, cobre aminoácido quelato, ferro aminoácido quelato, iodeto de potássio, manganês aminoácido quelato, selênio metionina, sulfato de cobre, sulfato de ferro, sulfato de manganês, sulfato de zinco, zinco aminoácido quelato. *Contém milho e farelo de glúten de milho 60 transgênicos (espécies doadoras de gene: Bacillus thuringiensis, Agrobacterium tumefaciens, Streptomyces viridochromogenes, Zea Mays). NÍVEIS DE GARANTIA: UMIDADE (MÁX) 100 g/kg 10,00% PROTEÍNA BRUTA 340 g /kg 34,00% EXTRATO ETÉREO (MÍN) 120 g/kg 12,00% MATÉRIA MINERAL (MÁX) 8 g/kg 8,00% MATÉRIA FIBROSA (MÁX) 35 g/kg 3,50% CÁLCIO (MÁX) 15 g /kg 1,50% CÁLCIO (MIN) 9000 mg/kg 0,90% FÓSFORO (MÍN) 8000 mg/kg 0,80% SÓDIO (MÍN) 2500 mg/kg 0,25% POTÁSSIO (MÍN) 5200 mg/kg 0,52% MAGNÉSIO (MÁX) 1000 mg/kg 0,10% ÔMEGRA 6 (MÍN) 20 g/kg 2,00% ÔMEGRA 3 (MÍN) 2500 mg/kg 0,25% TAURINA (MÍN) 1300 mg/kg 0,13% DL METIONINA (MÍN) 8000 mg/kg 0,80% LISINA (MÍN) 12 g/kg 1,20% PH URINÁRIO 6,2-6,8 ENERGIA METABOLIZÁVEL 3919 kcal/kg","KG"
"https://pncp.gov.br/api/pncp/v1/orgaos/87252045000131/compras/2024/15/itens",3,"5162","Difenidramina cloridrato","Ampola 1,00 ML"
"https://pncp.gov.br/api/pncp/v1/orgaos/75845545000106/compras/2024/1/itens",9,"350","(BR0267507) ALBENDAZOL  
DOSAGEM: 40 MG/ML, USO: SUSPENSÃO ORAL, FRASCO 10,00 ML  
  
","FRASCO"
