"endpoint","numeroItem","codigo_pdm","descricao","unidadeMedida"
"https://pncp.gov.br/api/pncp/v1/orgaos/11320964000133/compras/2024/33/itens",8,"15458","MOTOR COMPRESSOR PARA CÂMARA DE VACINA ELBER","UNIDADE"
"https://pncp.gov.br/api/pncp/v1/orgaos/87612743000109/compras/2024/65/itens",1,"15458","Curativo Redondo de Vacina Cx c/500","CX"
"https://pncp.gov.br/api/pncp/v1/orgaos/46634481000198/compras/2022/12/itens",6,"1289","CREME DE LEITE ZERO LACTOSE EMBALAGEM TETRA PACK CONTENDO 200 ML. INGREDIENTES: CREME DE LEITE, SORO DE LEITE EM PÓ, ENZIMA LACTASE E ESTABILIZANTES GOMA XANTANA, GOMA JATAÍ, GOMA GUAR, CARRAGENA, FOSFATO DISSÓDICO E CITRATO DE SÓDIO. ISENTO DE GLÚTEN.  VALIDADE MÍNIMA DE 5 MESES A CONTAR DA DATA DE ENTREGA.","UN."
"https://pncp.gov.br/api/pncp/v1/orgaos/18677625000158/compras/2024/81/itens",3,"2259","Álcool em gel. Neutro. Hidratado 70 graus INPM. Marca registrada. Notificada pela ANVISA. Ação germicida e bactericida. Composição: Álcool Etílico, carbômetro, neutralizante, água desmineralizada e desnaturante. Embalagem de 2 lts.","Unidade"
"https://pncp.gov.br/api/pncp/v1/orgaos/44881449000181/compras/2024/18/itens",4,"8428","STRT KIT MMT-7810W1 GST3C 2.2A CD. O GUARDIAN LINK3 CÓDIGO MMT-7810W1 É O TRANSMISSOR USADO COM A BOMBA DE INSULINA MINIMED 640G (CÓDIGO KIT MMT-1752/ CÓDIGO BOMBA MMT-1712) PARA MONITORIZAÇÃO CONTÍNUA DA GLICOSE. RECEBE OS DADOS PROVENIENTES DO SENSOR, APLICADO NO SUBCUTÂNEO, E OS ENVIA PARA A BOMBA DE INSULINA ATRAVÉS DE UMA LIGAÇÃO SEM FIOS. É COMPATÍVEL APENAS COM O SENSOR DE GLICOSE GUARDIAN SENSOR 3. REGISTRO ANVISA: 10349000912. APRESENTAÇÃO: UNITÁRIO. ORIGEM: IMPORTADO. FABRICANTE LEGAL: MEDTRONIC MINIMED, 18000 DEVONSHIRE STREET, NORTHRIDGE, CA 91325-1219- EUA- CÓD. PRODUTO/CFN: MMT-7810W1","UNIDADE"
"https://pncp.gov.br/api/pncp/v1/orgaos/07598634000137/compras/2024/51/itens",4386967,"1289","MACA MÓVEL, CLÍNICA, MATERIAL AÇO INOXIDÁVEL, TIPO AMBIENTE DE
RESSONÂNCIA MAGNÉTICA.
DESCRIÇÃO COMPLEMENTAR: ACABAMENTO DAS RODAS TERMOPLÁSTICA,
RODAS 4 RODÍZIOS DE 6´, FREIO NOS 4 RODÍZIOS, COMPRIMENTO ATÉ 2,00
M, LARGURA CERCA DE 0,80 M, ALTURA CERCA DE 1,00 M, COMPONENTES
SUPORTE SORO REMOVÍVEL, COMPONENTES 01 SUPORTE PARA CILINDRO
DE O2, CARACTERÍSTICAS ADICIONAIS CABECEIRA REGULÁVEL POR
CREMALHEIRA, CARACTERÍSTICAS ADICIONAIS 01 GRADES
ESCAMOTEÁVEIS.","unidade"
"https://pncp.gov.br/api/pncp/v1/orgaos/82836057000190/compras/2023/6/itens",6,"2259","ÁLCOOL ETÍLICO HIDRATADO COM AS SEGUINTES CARACTERÍSTICAS MÍNIMAS: EMBALAGEM COM 1 LITRO, CAIXA C/ 12; 46,8º INPM; NBR 5991/97","UNIDADE (UN)"
"https://pncp.gov.br/api/pncp/v1/orgaos/92410422000153/compras/2024/68/itens",2,"1289","ACHOCOLATADO EM PÓ VITAMINCO ? instantâneo, contendo os seguintes ingredientes: Açúcar, soro de leite em pó, maltodextrina, leite em pó integral, farinha micronizada de soja, cacau em pó, amido modificado, gordura vegetal de algodão, sal, mistura de vitaminas e sais minerais (A, C, B1, B6, Niacina, Ferro Quelato e Zinco), emulsificante lecitina de soja, espessante goma guar e aroma artificial baunilha. Contém glúten. Alérgicos: conté leite de vaca e derivados de soja. Acondicionado em embalagem primária em polietileno atóxico (embalagem 400g), aluminizada, resistente e fechado hermeticamente, com respectiva informação nutricional, com data de fabricação, lote e prazo de validade de no mínimo 10 meses.","PAC"
"https://pncp.gov.br/api/pncp/v1/orgaos/18557595000146/compras/2024/15/itens",3,"1289","EQUIPO MICROGOTAS COM PINÇA ROLETE DE ALTA...Equipo microgotas com pinça rolete de alta precisão; injetor lateral em “Y”’’ com membrana autocicatrizante ou valvulado com área para rápida assepsia; dispositivo de entrada de ar lateral com filtro hidrófobo de 15 micras; câmara de gotejamento com filtro de fluído no seu interior (malha de 15 micras), transparente com gotejador para 20 gotas por ml e flexível com perfurador do soro tipo lanceta; tubo extensor em PVC ou polietileno flexível, uniforme; transparente em toda sua extensão, igual ou superior a 1,20 m de comprimento. Conector luerlock. Estéril apirogênico, atóxico e embalado em papel grau cirúrgico.","UN"
"https://pncp.gov.br/api/pncp/v1/orgaos/01601857000120/compras/2022/4/itens",8,"2259","Álcool etílico gel. Embalagem Plástica de 500ml.","LITRO"
