endpoint,numeroItem,codigo_pdm,descricao,unidade_medida,rotulo,codigo_br,medicamento,observacao
https://pncp.gov.br/api/pncp/v1/orgaos/03517102000177/compras/2023/38/itens,5629,1289,Exame - Tipo: imunoensaio; Espécie: quantitativa de anticorpos IgG; Determinação: toxoplasma gondii em soro humano e plasma; Método: quimioluminescência por micropartículas paramagnét ou eletroquimioluminescência; Requisito: reagente pronto para uso.,1 - Teste,,,Não,
https://pncp.gov.br/api/pncp/v1/orgaos/08778268000160/compras/2024/41/itens,7,2420,AMIODARONA 50 mg/mL solução injetável intravenosa (ampola 3 mL). Item registrado na ata: 0025/2023,Amp,"PDM: 2420 - Amiodarona, Dosagem:50mg/Ml, Indicação:Injetável",271710.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/07954480000179/compras/2023/858/itens,7,9702,"METOCLOPRAMIDA (CLORIDRATO), 5MG/ML, SOLUCAO INJETAVEL, AMPOLA 2ML, UNIDADE 1.0 AMPOLA",UNIDADE 1.0 AMPOLA ,"PDM: 9702 - Metoclopramida Cloridrato, Dosagem:5 Mg/Ml, Apresentação:Solução Injetável",267310.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/01179647000195/compras/2024/262/itens,6,5118,"CLORETO DE SÓDIO 17,55% AMPOLA 10 ML",UN,"PDM: 5118 - Cloreto De Sódio, Concentraçao:17,55%, Forma Farmaceutica:Solução Injetável",412432.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/11420915000172/compras/2024/27/itens,1,14456,ACEBROFILINA 10 MGML    120 ML   SUSP. FRASCO DE  100 MLS,FRASC,"PDM: 14456 - Acebrofilina, Concentração:10 MG/ML, Forma Farmaceutica:Xarope",448839.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/01613940000119/compras/2024/120/itens,5,18216,"CAL HIDRATADA PARA PINTURA, COMPOSTA POR HIDRÓXIDO DE CÁLCIO E MAGNÉSIO, SEM NECESSIDADE DE USO DE FIXADOR - SACOS DE 8KG",SA,,,Não,
https://pncp.gov.br/api/pncp/v1/orgaos/46523239000147/compras/2024/433/itens,1,10633,PENTOXIFILINA 400 MG. COMPRIMIDO REVESTIDO DE LI,COMPRIMIDO,"PDM: 10633 - Pentoxifilina, Dosagem:400 MG",268159.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/01613052000104/compras/2023/111/itens,8,355,"ATROPINA SULFATO, DOSAGEM:0,50 MG/ML, USO:SOLUÇÃO INJETÁVEL AMPOLA C/ 1ML. CÓDIGO BR 0277934",UNIDADE,"PDM: 355 - Atropina Sulfato, Dosagem:0,50 MG/ML, Uso:Solução Injetável",277934.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/45176005000108/compras/2023/282/itens,1195282,9712,"METRONIDAZOL, 100 MG/G, GEL VAGINAL, COM APLICADOR, BISNAGA 50G",BIS,"PDM: 9712 - Metronidazol, Concentraçao:100 MG/G, Forma Farmaceutica:Gel Vaginal, Característica Adicional:Com Aplicador",372335.0,Sim,
https://pncp.gov.br/api/pncp/v1/orgaos/45116712000109/compras/2022/2/itens,9,10083,NIMESULIDA 100MG,COMPRIMIDO.,"PDM: 10083 - Nimesulida, Dosagem:100 Mg",273710.0,Sim,
