codigo_pdm,codigo_br,nome_item,embedding
14597,233632,"petrolato, aspecto físico:líquido, tipo:laxativo, uso:oral","[ 0.01939677  0.04760021  0.03485548 ...  0.0105637  -0.02004538
  0.0219012 ]"
8325,260160,"imunoglobulina humana, tipo:hiper imuni para hepatite b, dosagem:50 ui/ml, apresentação:solução injetável","[-0.04786254  0.01100402  0.02875564 ...  0.00332652  0.01517894
 -0.00755961]"
3924,266532,"fenoterol bromidrato, dosagem:0,2mg / dose, apresentação:aerossol, frasco dosificador + aerocâmara","[-0.04021849  0.00681894 -0.0051621  ...  0.00972111 -0.02764619
  0.00172675]"
17667,266665,"arteméter, dosagem:80 mg/ml, apresentação:solução injetável","[-0.01677132 -0.0199292   0.00214024 ...  0.02444015 -0.01094609
  0.00489242]"
3946,266699,"budesonida, apresentação:aerossol bucal, concentração:50mcg/dose, características adicionais:frasco com válvula dosificadora","[ 0.02331896  0.0047389   0.01950789 ...  0.01879217 -0.02735836
 -0.00063695]"
3946,266700,"budesonida, apresentação:aerossol bucal, concentração:200mcg/dose, características adicionais:frasco com válvula dosificadora","[ 0.00310835  0.00798207  0.01357513 ...  0.0359042  -0.03193449
  0.00815287]"
3946,266701,"budesonida, apresentação:aerossol nasal, concentração:50mcg/dose, características adicionais:frasco com válvula dosificadora","[ 0.01945363  0.00727836  0.00691933 ...  0.01072449 -0.00894394
 -0.01120619]"
3946,266703,"budesonida, apresentação:pó inalante, concentração:100mcg/dose, características adicionais:frasco com válvula dosificadora","[ 0.0211643  -0.01668392 -0.02467602 ...  0.01134689 -0.01064344
  0.00695367]"
3946,266704,"budesonida, apresentação:pó inalante, concentração:200mcg/dose, características adicionais:frasco com válvula dosificadora","[ 0.00439313 -0.00833554 -0.01057257 ...  0.01778534 -0.01144511
  0.00865828]"
3946,266705,"budesonida, apresentação:aerossol nasal, concentração:100mcg/dose, características adicionais:frasco com válvula dosificadora","[ 0.01617537  0.0014569  -0.01253597 ...  0.02133068 -0.01269906
 -0.00368107]"
3946,266706,"budesonida, apresentação:aerossol nasal, concentração:32mcg/dose, características adicionais:frasco com válvula dosificadora","[ 1.0591116e-02 -7.5710788e-03  5.3463154e-03 ...  3.0748876e-02
 -1.4061822e-02 -4.1257590e-06]"
3946,266707,"budesonida, apresentação:aerossol nasal, concentração:64mcg/dose, características adicionais:frasco com válvula dosificadora","[ 0.02516487 -0.00804635  0.00888952 ...  0.02542815 -0.02014017
 -0.01058721]"
16342,266713,"enzimas pancreáticas, princípio ativo:pancreatina ( amilase + lipase + protease ), dosagem:20.000 ui, uso:uso oral","[-0.01010499  0.04121573  0.02750015 ...  0.01965501  0.01858177
  0.03688858]"
9672,266736,"desferroxamina mesilato, dosagem:500 mg, apresentação:injetável","[-0.04311503  0.00729548  0.02215968 ... -0.0196052  -0.01795876
  0.02153421]"
14552,266750,"rivastigmina, dosagem:2 mg/ml, apresentação:solução oral","[-0.01613555 -0.0318119   0.05045184 ...  0.03222738  0.01053881
 -0.0045172 ]"
17685,266752,"imiglucerase, dosagem:200 ui, apresentação:injetável","[-0.07703082  0.02865747  0.0401569  ...  0.02114865  0.03069494
 -0.02284334]"
10094,266788,"nistatina, dosagem:25.000 ui/g, apresentação:creme vaginal","[-0.01939043  0.01564615  0.01033728 ...  0.04500063  0.0529738
 -0.00863563]"
11926,266809,"salmeterol xinafoato, dosagem:50mcg / dose, apresentação:pó para inalação","[-0.02911051  0.03274028  0.03252375 ...  0.01390488  0.00462935
  0.00240309]"
8325,266833,"imunoglobulina humana, tipo:anti varicela zoster, dosagem:100 ui/ml, apresentação:solução injetável","[ 0.00368756  0.03818806  0.00422768 ...  0.02879502 -0.0019275
 -0.02807512]"
9712,266863,"metronidazol, dosagem:40 mg/ml, apresentação:suspensão oral","[ 0.0011266   0.01579897  0.02665397 ...  0.00551032 -0.0153635
  0.02771841]"
1254,267077,"bezafibrato, dosagem:200 mg","[-0.03829215  0.01092651  0.03691309 ... -0.02807355 -0.03918263
  0.05824487]"
17700,267081,"fenofibrato, dosagem:200 mg","[-0.03201877  0.01385122 -0.00385233 ... -0.01812443 -0.01932697
  0.06706775]"
14430,267082,"fluvastatina, dosagem:80 mg, características adicionais:liberação prolongada","[-0.00231462 -0.06320141  0.01756528 ...  0.00293131  0.02323512
  0.02953363]"
14430,267083,"fluvastatina, dosagem:20 mg","[ 3.9719142e-02 -2.5477197e-02  1.2250777e-05 ...  5.0672921e-03
  2.0125370e-02  4.1767158e-02]"
14430,267084,"fluvastatina, dosagem:40 mg","[ 0.01870545 -0.04257509  0.00457763 ...  0.00272681  0.01485309
  0.03558227]"
7964,267087,"genfibrozila, dosagem:900 mg","[-0.08446001 -0.01782244  0.01775044 ...  0.0048671  -0.03578302
  0.044861  ]"
7964,267088,"genfibrozila, dosagem:600 mg","[-0.05704389 -0.00887579  0.03310979 ... -0.00583302 -0.04634202
  0.04205877]"
8929,267092,"lovastatina, dosagem:40 mg","[ 0.00518473 -0.04330844 -0.00784032 ...  0.00655297 -0.01080101
  0.01411122]"
7351,267107,"fenitoína sódica, dosagem:50 mg/ml, apresentação:solução injetável","[-0.00845633 -0.03022207 -0.02581379 ...  0.03032207  0.04754662
  0.01123936]"
3167,267140,"azitromicina, dosagem:500 mg","[ 0.03779151  0.00490845  0.03166307 ...  0.01126845 -0.03280268
 -0.01336038]"
4803,267151,"cetoconazol, dosagem:200 mg","[-0.0105048  -0.00811834 -0.00370268 ...  0.00385652 -0.03158968
  0.0147412 ]"
5116,267158,"cloreto de potássio, dosagem:600 mg, apresentação:comprimido efervescente","[ 0.00025027 -0.00561886 -0.01638126 ... -0.00505758 -0.00628952
  0.00405677]"
5116,267160,"cloreto de potássio, dosagem:15%, apresentação:solução injetável","[-0.01276529  0.02547877 -0.01393973 ... -0.01042852  0.02880782
  0.01781916]"
5116,267161,"cloreto de potássio, dosagem:10%, apresentação:solução injetável","[-0.01108499  0.01030311 -0.02201959 ... -0.0166754   0.03702053
  0.03065504]"
5116,267162,"cloreto de potássio, dosagem:19,1%, apresentação:solução injetável","[-0.00631961  0.02265241 -0.00766756 ...  0.00123312  0.03037055
  0.01592302]"
5116,267163,"cloreto de potássio, dosagem:20%, apresentação:solução injetável","[-0.01506416  0.02772083 -0.00790982 ... -0.00992563  0.03709842
  0.0220381 ]"
5116,267164,"cloreto de potássio, dosagem:6%, apresentação:solução oral","[ 0.01304972  0.01173861 -0.0173559  ... -0.01111953  0.00473574
  0.00395289]"
6143,267187,"dexametasona, dosagem:0,1%, apresentação:solução oftálmica","[-0.00176913 -0.02015705  0.01220696 ...  0.01563942  0.00190176
  0.00154376]"
6168,267194,"diazepam, dosagem:5 mg/ml, apresentação:solução injetável","[-0.02368125 -0.02828528  0.07571075 ...  0.04349134 -0.02532903
  0.01380335]"
6168,267195,"diazepam, dosagem:5 mg","[ 0.01411811 -0.03298653  0.07817578 ...  0.01210888 -0.05065402
  0.02188576]"
6168,267196,"diazepam, dosagem:2 mg","[-0.01918273 -0.03433509  0.07970861 ...  0.03080834 -0.03826256
  0.01693142]"
6168,267197,"diazepam, dosagem:10 mg","[ 0.02265207 -0.05119769  0.04624845 ...  0.00868583 -0.04085766
  0.04963861]"
17708,267203,"dipirona sódica, dosagem:500 mg","[-0.02457795 -0.02020933  0.02619307 ...  0.01802622 -0.02571457
  0.02400071]"
17708,267205,"dipirona sódica, dosagem:500 mg/ml, apresentação:solução oral (gotas)","[-0.03643062 -0.0186036   0.01558104 ...  0.03194061 -0.03085742
 -0.00872154]"
17708,267206,"dipirona sódica, dosagem:50 mg/ml, apresentação:solução oral","[-0.03285433 -0.0289312   0.04043832 ...  0.01863141 -0.01826952
  0.00058204]"
