desc_item,codigo_br,nome_pdm,activeIngredients.name,dosageForm,administrationRoute,activeIngredients.strengthValue,activeIngredients.strengthUnit,immediateContainer,caracteristicaFaltante,attributes,origem_activeIngredients,origem_dosageForm,origem_administrationRoute,origem_strength,origem_immediateContainer
"233632 - Petrolato, Aspecto Físico:Líquido, Tipo:Laxativo, Uso:Oral",233632,Petrolato,,['Líquido'],['Oral'],,,,['Tipo'],['Laxativo'],,['Aspecto Físico'],['Uso'],,
"260160 - Imunoglobulina Humana, Tipo:Hiper Imuni Para Hepatite B, Dosagem:50 Ui/Ml, Apresentação:Solução Injetável",260160,Imunoglobulina Humana,,,['Solução Injetável'],['50'],['UI/ML'],,['Tipo'],['Hiper Imuni Para Hepatite B'],,,['Apresentação'],['Dosagem'],
"266532 - Fenoterol Bromidrato, Dosagem:0,2mg / Dose, Apresentação:Aerossol, Frasco Dosificador + Aerocâmara",266532,Fenoterol Bromidrato,,"['Aerossol, Frasco Dosificador + Aerocâmara']",,"['0,2']",['MG'],['frasco dosificador aerocamara'],,,,['Apresentação'],,['Dosagem'],['Apresentação']
"266665 - Arteméter, Dosagem:80 MG/ML, Apresentação:Solução Injetável",266665,Arteméter,,,['Solução Injetável'],['80'],['MG/ML'],,,,,,['Apresentação'],['Dosagem'],
"266699 - Budesonida, Apresentação:Aerossol Bucal, Concentração:50mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora",266699,Budesonida,,,['Aerossol Bucal'],['50'],['MCG'],['frasco com valvula dosificadora'],,,,,['Apresentação'],['Concentração'],['Características Adicionais']
"266700 - Budesonida, Apresentação:Aerossol Bucal, Concentração:200mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora",266700,Budesonida,,,['Aerossol Bucal'],['200'],['MCG'],['frasco com valvula dosificadora'],,,,,['Apresentação'],['Concentração'],['Características Adicionais']
"266701 - Budesonida, Apresentação:Aerossol Nasal, Concentração:50mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora",266701,Budesonida,,,['Aerossol Nasal'],['50'],['MCG'],['frasco com valvula dosificadora'],,,,,['Apresentação'],['Concentração'],['Características Adicionais']
"266703 - Budesonida, Apresentação:Pó Inalante, Concentração:100mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora",266703,Budesonida,,,['Pó Inalante'],['100'],['MCG'],['frasco com valvula dosificadora'],,,,,['Apresentação'],['Concentração'],['Características Adicionais']
"266704 - Budesonida, Apresentação:Pó Inalante, Concentração:200mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora",266704,Budesonida,,,['Pó Inalante'],['200'],['MCG'],['frasco com valvula dosificadora'],,,,,['Apresentação'],['Concentração'],['Características Adicionais']
"266705 - Budesonida, Apresentação:Aerossol Nasal, Concentração:100mcg/Dose, Características Adicionais:Frasco Com Válvula Dosificadora",266705,Budesonida,,,['Aerossol Nasal'],['100'],['MCG'],['frasco com valvula dosificadora'],,,,,['Apresentação'],['Concentração'],['Características Adicionais']
