numeroControlePNCPCompra,numeroItem,endpoint,sequencialResultado,situacaoCompraItemResultadoId,situacaoCompraItemResultadoNome,dataInclusao,dataAtualizacao,niFornecedor,nomeRazaoSocialFornecedor,tipoPessoa,porteFornecedorId,porteFornecedorNome,naturezaJuridicaId,naturezaJuridicaNome,codigoPais,quantidadeHomologada,valorUnitarioHomologado,valorTotalHomologado,percentualDesconto,paisOrigemProdutoServico.id,paisOrigemProdutoServico.nome,moedaEstrangeira.id,moedaEstrangeira.simbolo,moedaEstrangeira.nome,timezoneCotacaoMoedaEstrangeira,valorNominalMoedaEstrangeira,dataCotacaoMoedaEstrangeira,aplicacaoMargemPreferencia,amparoLegalMargemPreferencia.id,amparoLegalMargemPreferencia.nome,amparoLegalMargemPreferencia.descricao,amparoLegalMargemPreferencia.statusAtivo,aplicacaoBeneficioMeEpp,aplicacaoCriterioDesempate,amparoLegalCriterioDesempate.id,amparoLegalCriterioDesempate.nome,amparoLegalCriterioDesempate.descricao,amparoLegalCriterioDesempate.statusAtivo,indicadorSubcontratacao,ordemClassificacaoSrp,dataResultado,dataCancelamento,motivoCancelamento,moedaEstrangeira,amparoLegalMargemPreferencia,amparoLegalCriterioDesempate,paisOrigemProdutoServico,dataResultado_ocds
02493318000187-1-000037/2024,1,https://pncp.gov.br/api/pncp/v1/orgaos/02493318000187/compras/2024/37/itens/1/resultados,1,1,Informado,2024-11-20T07:44:47,2024-11-20T07:44:47,06294126000100,SOMA RS PRODUTOS HOSPITALARES LTDA,PJ,3,Demais,,,BRA,3600.0,7.69,27684.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
02493318000187-1-000037/2024,2,https://pncp.gov.br/api/pncp/v1/orgaos/02493318000187/compras/2024/37/itens/2/resultados,1,1,Informado,2024-11-20T07:44:47,2024-11-20T07:44:47,03652030000170,CENTERMEDI COMÉRCIO DE PRODUTOS HOSPITALARES LTDA,PJ,3,Demais,,,BRA,3100.0,5.099,15806.9,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
02493318000187-1-000037/2024,3,https://pncp.gov.br/api/pncp/v1/orgaos/02493318000187/compras/2024/37/itens/3/resultados,1,1,Informado,2024-11-20T07:44:47,2024-11-20T07:44:47,94516671000153,CIRURGICA SANTA CRUZ COM PROD HOSP LTDA,PJ,3,Demais,,,BRA,131000.0,0.3132,41029.2,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
02493318000187-1-000037/2024,5,https://pncp.gov.br/api/pncp/v1/orgaos/02493318000187/compras/2024/37/itens/5/resultados,1,1,Informado,2024-11-20T07:44:47,2024-11-20T07:44:47,06294126000100,SOMA RS PRODUTOS HOSPITALARES LTDA,PJ,3,Demais,,,BRA,2500.0,3.66,9150.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
02493318000187-1-000037/2024,6,https://pncp.gov.br/api/pncp/v1/orgaos/02493318000187/compras/2024/37/itens/6/resultados,1,1,Informado,2024-11-20T07:44:47,2024-11-20T07:44:47,06294126000100,SOMA RS PRODUTOS HOSPITALARES LTDA,PJ,3,Demais,,,BRA,3050.0,3.8,11590.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
02493318000187-1-000037/2024,7,https://pncp.gov.br/api/pncp/v1/orgaos/02493318000187/compras/2024/37/itens/7/resultados,1,1,Informado,2024-11-20T07:44:47,2024-11-20T07:44:47,41319803000190,GENERICA ITATIBA DISTRIBUIDORA DE MEDICAMENTOS LTDA ,PJ,2,EPP,,,BRA,26000.0,0.6,15600.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
02493318000187-1-000037/2024,8,https://pncp.gov.br/api/pncp/v1/orgaos/02493318000187/compras/2024/37/itens/8/resultados,1,1,Informado,2024-11-20T07:44:47,2024-11-20T07:44:47,12889035000102,INOVAMED HOSPITALAR LTDA,PJ,2,EPP,,,BRA,74000.0,0.1849,13682.6,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
02493318000187-1-000037/2024,9,https://pncp.gov.br/api/pncp/v1/orgaos/02493318000187/compras/2024/37/itens/9/resultados,1,1,Informado,2024-11-20T07:44:48,2024-11-20T07:44:48,20657155000102,ILG COMERCIAL LTDA ME,PJ,1,ME,,,BRA,55200.0,0.788,43497.6,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
02493318000187-1-000037/2024,10,https://pncp.gov.br/api/pncp/v1/orgaos/02493318000187/compras/2024/37/itens/10/resultados,1,1,Informado,2024-11-20T07:44:48,2024-11-20T07:44:48,03652030000170,CENTERMEDI COMÉRCIO DE PRODUTOS HOSPITALARES LTDA,PJ,3,Demais,,,BRA,8100.0,2.123,17196.3,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1858-11-17,,,,,,,
04865760000112-1-000046/2025,3,https://pncp.gov.br/api/pncp/v1/orgaos/04865760000112/compras/2025/46/itens/3/resultados,1,1,Informado,2025-12-31T11:23:31,2025-12-31T11:23:31,52669172000156, SAÚDE EQUIPAMENTOS COMERCIO LTDA,PJ,1,ME,,,BRA,580.0,3.7,2146.0,0.0,,,,,,,,,False,,,,,False,False,,,,,False,1.0,1900-01-01,,,,,,,
