endpoint,numeroItem
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/447/itens,1
https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/207/itens,3
https://pncp.gov.br/api/pncp/v1/orgaos/76417005001743/compras/2024/88/itens,1
https://pncp.gov.br/api/pncp/v1/orgaos/76417005001743/compras/2024/88/itens,2
https://pncp.gov.br/api/pncp/v1/orgaos/76417005001743/compras/2024/88/itens,3
https://pncp.gov.br/api/pncp/v1/orgaos/76417005001743/compras/2024/88/itens,4
https://pncp.gov.br/api/pncp/v1/orgaos/76417005001743/compras/2024/88/itens,5
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/306/itens,1
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/306/itens,2
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/306/itens,3
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/306/itens,4
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/306/itens,5
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/306/itens,6
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/306/itens,7
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/306/itens,8
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/306/itens,9
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/306/itens,10
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/321/itens,1
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/321/itens,2
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/321/itens,3
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/321/itens,4
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/321/itens,5
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/321/itens,6
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/321/itens,7
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/321/itens,8
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/321/itens,9
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/321/itens,10
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/329/itens,1
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/404/itens,1
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/404/itens,2
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/404/itens,3
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/404/itens,4
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/404/itens,5
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/404/itens,6
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/404/itens,7
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/404/itens,8
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/404/itens,9
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/404/itens,10
https://pncp.gov.br/api/pncp/v1/orgaos/76568930000108/compras/2024/35/itens,1
https://pncp.gov.br/api/pncp/v1/orgaos/76568930000108/compras/2024/35/itens,2
https://pncp.gov.br/api/pncp/v1/orgaos/76568930000108/compras/2024/35/itens,3
https://pncp.gov.br/api/pncp/v1/orgaos/76568930000108/compras/2024/35/itens,4
https://pncp.gov.br/api/pncp/v1/orgaos/76568930000108/compras/2024/35/itens,5
https://pncp.gov.br/api/pncp/v1/orgaos/76568930000108/compras/2024/35/itens,6
https://pncp.gov.br/api/pncp/v1/orgaos/76568930000108/compras/2024/35/itens,7
https://pncp.gov.br/api/pncp/v1/orgaos/76568930000108/compras/2024/35/itens,8
https://pncp.gov.br/api/pncp/v1/orgaos/76568930000108/compras/2024/35/itens,9
https://pncp.gov.br/api/pncp/v1/orgaos/76568930000108/compras/2024/35/itens,10
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/200/itens,1
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/200/itens,2
https://pncp.gov.br/api/pncp/v1/orgaos/76417005000186/compras/2024/200/itens,3
https://pncp.gov.br/api/pncp/v1/orgaos/76417005001743/compras/2024/165/itens,1
https://pncp.gov.br/api/pncp/v1/orgaos/76417005001743/compras/2024/165/itens,2
https://pncp.gov.br/api/pncp/v1/orgaos/76417005001743/compras/2024/175/itens,1
https://pncp.gov.br/api/pncp/v1/orgaos/76417005001743/compras/2024/175/itens,2
