"numeroControlePNCPCompra","numeroItem","endpoint","sequencialResultado","situacaoCompraItemResultadoId","situacaoCompraItemResultadoNome","dataInclusao","dataAtualizacao","niFornecedor","nomeRazaoSocialFornecedor","tipoPessoa","porteFornecedorId","porteFornecedorNome","naturezaJuridicaId","naturezaJuridicaNome","codigoPais","quantidadeHomologada","valorUnitarioHomologado","valorTotalHomologado","percentualDesconto","paisOrigemProdutoServico.id","paisOrigemProdutoServico.nome","moedaEstrangeira.id","moedaEstrangeira.simbolo","moedaEstrangeira.nome","timezoneCotacaoMoedaEstrangeira","valorNominalMoedaEstrangeira","dataCotacaoMoedaEstrangeira","aplicacaoMargemPreferencia","amparoLegalMargemPreferencia.id","amparoLegalMargemPreferencia.nome","amparoLegalMargemPreferencia.descricao","amparoLegalMargemPreferencia.statusAtivo","aplicacaoBeneficioMeEpp","aplicacaoCriterioDesempate","amparoLegalCriterioDesempate.id","amparoLegalCriterioDesempate.nome","amparoLegalCriterioDesempate.descricao","amparoLegalCriterioDesempate.statusAtivo","indicadorSubcontratacao","ordemClassificacaoSrp","dataResultado","dataCancelamento","motivoCancelamento","moedaEstrangeira","amparoLegalMargemPreferencia","amparoLegalCriterioDesempate","paisOrigemProdutoServico"
"14814139000183-1-000207/2024","3","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/207/itens/3/resultados","1","1","Informado","2025-01-02T08:48:14","2025-01-02T08:48:14","02816696000154","PONTAMED FARMACEUTICA LTDA","PJ","3","Demais","2062","Sociedade Empresária Limitada","BRA","4000","13.88","55520","0",,,,,,,,,"FALSE",,,,,"FALSE","FALSE",,,,,"FALSE","1","2025-01-02",,,,,,
"14814139000183-1-000211/2024","1","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/211/itens/1/resultados","1","1","Informado","2025-01-07T10:11:31","2025-01-07T10:11:31","00802002000102","ALTERMED MATERIAL MEDICO HOSPITALAR LTDA","PJ","3","Demais","2062","Sociedade Empresária Limitada","BRA","90000","1.2","108000","0",,,,,,,,,"FALSE",,,,,"FALSE","FALSE",,,,,"FALSE","1","2025-01-07",,,,,,
"14814139000183-1-000211/2024","2","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/211/itens/2/resultados","1","1","Informado","2025-01-07T10:11:31","2025-01-07T10:11:31","37624223000130","ARKEEN COMERCIAL LTDA","PJ","1","ME","2062","Sociedade Empresária Limitada","BRA","30000","1.24","37200","0",,,,,,,,,"FALSE",,,,,"FALSE","FALSE",,,,,"FALSE","1","2025-01-07",,,,,,
"14814139000183-1-000211/2024","3","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/211/itens/3/resultados","1","1","Informado","2025-01-07T10:11:31","2025-01-07T10:11:31","00802002000102","ALTERMED MATERIAL MEDICO HOSPITALAR LTDA","PJ","3","Demais","2062","Sociedade Empresária Limitada","BRA","172500","1.3","224250","0",,,,,,,,,"FALSE",,,,,"FALSE","FALSE",,,,,"FALSE","1","2025-01-07",,,,,,
"14814139000183-1-000211/2024","4","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/211/itens/4/resultados","1","1","Informado","2025-01-07T10:11:31","2025-01-07T10:11:31","37624223000130","ARKEEN COMERCIAL LTDA","PJ","1","ME","2062","Sociedade Empresária Limitada","BRA","57500","1.34","77050","0",,,,,,,,,"FALSE",,,,,"FALSE","FALSE",,,,,"FALSE","1","2025-01-07",,,,,,
"14814139000183-1-000215/2024","1","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/215/itens/1/resultados","1","1","Informado","2025-01-07T10:13:05","2025-01-07T10:13:05","21315653000130","QUALITY ACESSORIOS LTDA","PJ","1","ME","2062","Sociedade Empresária Limitada","BRA","800","33.73","26984","0",,,,,,,,,"FALSE",,,,,"FALSE","FALSE",,,,,"FALSE","1","2025-01-07",,,,,,
"14814139000183-1-000215/2024","2","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/215/itens/2/resultados","1","1","Informado","2025-01-07T10:13:05","2025-01-07T10:13:05","21315653000130","QUALITY ACESSORIOS LTDA","PJ","1","ME","2062","Sociedade Empresária Limitada","BRA","1000","33.73","33730","0",,,,,,,,,"FALSE",,,,,"FALSE","FALSE",,,,,"FALSE","1","2025-01-07",,,,,,
"14814139000183-1-000215/2024","3","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/215/itens/3/resultados","1","1","Informado","2025-01-07T10:13:05","2025-01-07T10:13:05","21315653000130","QUALITY ACESSORIOS LTDA","PJ","1","ME","2062","Sociedade Empresária Limitada","BRA","900","33.73","30357","0",,,,,,,,,"FALSE",,,,,"FALSE","FALSE",,,,,"FALSE","1","2025-01-07",,,,,,
"14814139000183-1-000215/2024","4","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/215/itens/4/resultados","1","1","Informado","2025-01-07T10:13:05","2025-01-07T10:13:05","21315653000130","QUALITY ACESSORIOS LTDA","PJ","1","ME","2062","Sociedade Empresária Limitada","BRA","900","33.73","30357","0",,,,,,,,,"FALSE",,,,,"FALSE","FALSE",,,,,"FALSE","1","2025-01-07",,,,,,
"14814139000183-1-000215/2024","5","https://pncp.gov.br/api/pncp/v1/orgaos/14814139000183/compras/2024/215/itens/5/resultados","1","1","Informado","2025-01-07T10:13:05","2025-01-07T10:13:05","21315653000130","QUALITY ACESSORIOS LTDA","PJ","1","ME","2062","Sociedade Empresária Limitada","BRA","300","33.73","10119","0",,,,,,,,,"FALSE",,,,,"FALSE","FALSE",,,,,"FALSE","1","2025-01-07",,,,,,
