data.numeroControlePNCP,data.srp
88000906000157-1-000376/2024,TRUE
16726028000140-1-000043/2024,TRUE
14814139000183-1-000207/2024,TRUE
01409580000138-1-001988/2024,TRUE
45787678000102-1-000494/2024,TRUE
75095679000149-1-000827/2024,TRUE
00394452000103-1-020181/2024,TRUE
05509720000109-1-000034/2024,TRUE
58200015000183-1-000675/2024,TRUE
15126437000143-1-003764/2024,TRUE
15126437000143-1-000024/2025,TRUE
46374500000194-1-010759/2024,FALSE
18299511000111-1-000077/2024,FALSE
45944428000120-1-000287/2024,TRUE
87612768000102-1-000051/2024,TRUE
07974082000114-1-000168/2024,FALSE
46374500000194-1-010820/2024,FALSE
13810841000106-1-000001/2025,TRUE
45944428000120-1-000288/2024,TRUE
45944428000120-1-000003/2025,TRUE
18299511000111-1-000079/2024,FALSE
08654446000141-1-000077/2024,TRUE
00394544000185-1-002389/2024,TRUE
15126437000143-1-003425/2024,TRUE
00394544000185-1-001595/2024,TRUE
13348479000101-1-000039/2024,FALSE
00394452000103-1-020436/2024,TRUE
16298945000171-1-000043/2024,TRUE
05802877000110-1-000093/2024,TRUE
78103884000105-1-000169/2024,FALSE
46137428000181-1-000079/2024,TRUE
23555196000186-1-000060/2024,FALSE
46374500000194-1-010865/2024,FALSE
56023443000152-1-000459/2024,TRUE
42498600000171-1-007386/2024,TRUE
11899413000176-1-000107/2024,TRUE
42498600000171-1-007764/2024,FALSE
42498600000171-1-007659/2024,TRUE
46068425000133-1-001139/2024,TRUE
13807870000119-1-000033/2024,TRUE
87990800000185-1-000499/2024,TRUE
07954480000179-1-002702/2024,TRUE
24772188000154-1-000205/2024,TRUE
23515687000101-1-000008/2024,TRUE
01014332000198-1-000011/2024,TRUE
76978881000181-1-000195/2024,TRUE
46638714000120-1-000179/2024,TRUE
18125146000129-1-000126/2024,TRUE
00634997000131-1-000067/2024,TRUE
00634997000131-1-000075/2024,TRUE
00634997000131-1-000081/2024,TRUE
00634997000131-1-000083/2024,TRUE
00634997000131-1-000087/2024,TRUE
00634997000131-1-000092/2024,TRUE
18363952000135-1-000052/2024,TRUE
00394544000185-1-002567/2024,FALSE
46137428000181-1-000090/2024,TRUE
08357618000115-1-000064/2024,FALSE
75828418000190-1-000029/2024,TRUE
46578498000175-1-000225/2024,TRUE
75828418000190-1-000123/2024,TRUE
44847663000111-1-001037/2024,TRUE
88000906000157-1-000001/2025,TRUE
15126437000143-1-002376/2024,TRUE
08761140000194-1-000054/2024,TRUE
18477315000190-1-000022/2024,TRUE
08761140000194-1-000067/2024,TRUE
92931245000150-1-000033/2024,TRUE
44723674000190-1-001672/2024,TRUE
42498600000171-1-007799/2024,FALSE
15126437000143-1-002842/2024,TRUE
24082879000126-1-000035/2024,FALSE
00394452000103-1-021852/2024,TRUE
10572022000180-1-000780/2024,TRUE
00394429000100-1-002103/2024,TRUE
05802877000110-1-000106/2024,TRUE
46374500000194-1-007702/2024,FALSE
44723674000190-1-001209/2024,TRUE
17747940000141-1-000116/2024,TRUE
46374500000194-1-008590/2024,FALSE
27080605000196-1-000316/2024,TRUE
18312967000174-1-000031/2024,TRUE
27174093000127-1-000267/2024,TRUE
10316445000139-1-000031/2024,TRUE
46374500000194-1-011077/2024,FALSE
14004655000142-1-000105/2024,TRUE
05816630000152-1-006685/2024,TRUE
18306688000106-1-000079/2024,TRUE
02056729000105-1-001528/2024,TRUE
18312967000174-1-000060/2024,TRUE
19876424000142-1-000170/2024,TRUE
46374500000194-1-010830/2024,FALSE
46374500000194-1-010724/2024,FALSE
29178233000160-1-000237/2024,TRUE
75442756000190-1-000106/2024,FALSE
04461836000144-1-000040/2024,TRUE
27080605000196-1-000340/2024,TRUE
75828418000190-1-000164/2024,TRUE
18260505000150-1-000001/2025,TRUE
87613535000116-1-001589/2024,TRUE
27080605000196-1-000322/2024,TRUE
08761124000100-1-000795/2024,TRUE
27080605000196-1-000374/2024,TRUE
18385088000172-1-000156/2024,TRUE
00394544000185-1-002368/2024,TRUE
13937032000160-1-002412/2024,FALSE
27080605000196-1-000408/2024,TRUE
27080605000196-1-000318/2024,TRUE
27686179000139-1-000001/2025,FALSE
09151796000158-1-000038/2024,TRUE
18314617000147-1-000114/2024,TRUE
59015438000196-1-000304/2024,TRUE
15126437000143-1-002632/2024,TRUE
88577416000118-1-000131/2024,TRUE
11420709000162-1-000001/2024,TRUE
07954480000179-1-022012/2024,TRUE
11899413000176-1-000098/2024,FALSE
11899413000176-1-000095/2024,FALSE
11899413000176-1-000097/2024,FALSE
06190522000180-1-000167/2024,TRUE
11867889000125-1-000019/2024,TRUE
47970769000104-1-000385/2024,TRUE
24334872000154-1-000012/2024,TRUE
76331941000170-1-000524/2024,TRUE
07954480000179-1-022479/2024,TRUE
13245568000114-1-000013/2024,TRUE
18260505000150-1-000117/2024,TRUE
19243500000182-1-000042/2024,TRUE
46634390000152-1-000372/2024,FALSE
50387844000105-1-000700/2024,TRUE
27142694000158-1-000430/2024,FALSE
46634390000152-1-000223/2024,TRUE
07424905000138-1-000029/2024,TRUE
46195079000154-1-000602/2024,TRUE
46634390000152-1-000183/2024,FALSE
46522983000127-1-000223/2024,TRUE
47970769000104-1-000474/2024,TRUE
46374500000194-1-010707/2024,FALSE
08439549000199-1-000013/2024,TRUE
87572079000103-1-000461/2024,TRUE
12207445000126-1-000080/2024,TRUE
07424905000138-1-000221/2024,TRUE
46374500000194-1-004002/2024,FALSE
46374500000194-1-003997/2024,FALSE
46374500000194-1-003954/2024,FALSE
06553606000130-1-000171/2024,FALSE
06553606000130-1-000154/2024,FALSE
42498600000171-1-008078/2024,FALSE
07413255000125-1-000058/2024,TRUE
04249257000132-1-000007/2024,TRUE
44926723000191-1-000094/2024,TRUE
07520141000184-1-000001/2025,FALSE
42498600000171-1-008013/2024,FALSE
01409580000138-1-000608/2023,TRUE
44926723000191-1-000099/2024,TRUE
07424905000138-1-000236/2024,TRUE
05802877000110-1-000104/2024,TRUE
60448040000122-1-000634/2024,TRUE
18307439000127-1-000011/2024,TRUE
60448040000122-1-000610/2024,TRUE
60448040000122-1-000665/2024,TRUE
60448040000122-1-000627/2024,TRUE
60448040000122-1-000668/2024,TRUE
46634218000107-1-000087/2024,TRUE
42498600000171-1-007388/2024,TRUE
42498600000171-1-007455/2024,TRUE
42498600000171-1-007706/2024,FALSE
04214217000155-1-000098/2024,TRUE
13913363000160-1-000178/2024,TRUE
15126437000143-1-003906/2024,TRUE
46523270000188-1-000163/2024,TRUE
11266377000103-1-000001/2024,TRUE
27150556000110-1-000152/2024,TRUE
14787731000133-1-000027/2024,TRUE
15126437000143-1-003625/2024,TRUE
46634457000159-1-000214/2024,TRUE
42498600000171-1-007922/2024,TRUE
46578514000120-1-000081/2024,TRUE
76002641000147-1-000413/2024,TRUE
45226214000119-1-000581/2024,TRUE
00394452000103-1-020950/2024,TRUE
18313817000185-1-000001/2025,FALSE
18313817000185-1-000402/2024,FALSE
82951351000142-1-000568/2024,TRUE
13927801000149-1-000189/2024,FALSE
42498600000171-1-007190/2024,TRUE
08597121000174-1-001516/2024,TRUE
22981427000150-1-000017/2024,TRUE
84013408000198-1-000003/2025,TRUE
84013408000198-1-000004/2025,TRUE
