numero_controle_pncp,numero_item,tipoBeneficioNome,aplicabilidadeMargemPreferenciaNormal,percentualMargemPreferenciaNormal,aplicabilidadeMargemPreferenciaAdicional,percentualMargemPreferenciaAdicional,tipoMargemPreferencia.codigo,criterioJulgamentoNome,tipoMargemPreferencia.nome,tipoMargemPreferencia,exigenciaConteudoNacional,_merge,srp,_merge_srp
92324706000127-1-000279/2023,5,,,,,,,,,,,left_only,False,both
92324706000127-1-000279/2023,6,,,,,,,,,,,left_only,False,both
92324706000127-1-000279/2023,7,,,,,,,,,,,left_only,False,both
92324706000127-1-000279/2023,9,,,,,,,,,,,left_only,False,both
92324706000127-1-000279/2023,10,,,,,,,,,,,left_only,False,both
92324706000127-1-000119/2023,2,,,,,,,,,,,left_only,False,both
92324706000127-1-000119/2023,5,,,,,,,,,,,left_only,False,both
92324706000127-1-000119/2023,6,,,,,,,,,,,left_only,False,both
10540697000147-1-000001/2023,10,,,,,,,,,,,left_only,True,both
95591764000105-1-000036/2023,3,,,,,,,,,,,left_only,False,both
95591764000105-1-000036/2023,4,,,,,,,,,,,left_only,False,both
95591764000105-1-000036/2023,6,,,,,,,,,,,left_only,False,both
45301652000102-1-000088/2023,1,,,,,,,,,,,left_only,False,both
15126437000143-1-002819/2023,4,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-002819/2023,5,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-002819/2023,6,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-002819/2023,3,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
45301652000102-1-000088/2023,2,,,,,,,,,,,left_only,False,both
15126437000143-1-001737/2023,2,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001737/2023,6,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001737/2023,8,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-002017/2023,1,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-002017/2023,6,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-002076/2023,2,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-002076/2023,10,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-002819/2023,10,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001766/2023,1,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001766/2023,4,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001766/2023,5,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-002530/2023,1,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-002530/2023,6,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-002530/2023,7,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-002530/2023,9,Participação exclusiva para ME/EPP,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-002819/2023,9,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
44660272000193-1-000011/2025,1658475,Não se aplica,False,,False,,,Menor preço,,,False,both,True,both
45301652000102-1-000083/2023,4,,,,,,,,,,,left_only,False,both
15126437000143-1-001331/2023,5,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001586/2023,2,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001692/2023,1,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001337/2023,2,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001337/2023,4,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001337/2023,5,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001337/2023,6,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001337/2023,8,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001337/2023,9,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001337/2023,10,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001696/2023,1,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001696/2023,3,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001696/2023,4,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001696/2023,7,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001696/2023,9,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001696/2023,10,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-000739/2023,1,Sem benefício,False,,False,,,Menor preço,,,,both,False,both
44660272000193-1-000011/2025,1658477,Não se aplica,False,,False,,,Menor preço,,,False,both,True,both
45301652000102-1-000083/2023,6,,,,,,,,,,,left_only,False,both
15126437000143-1-000728/2023,5,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-000728/2023,7,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-000728/2023,8,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-000728/2023,9,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-000728/2023,10,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-000849/2023,1,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-000849/2023,5,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-000849/2023,7,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-000849/2023,8,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-000849/2023,9,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-000849/2023,10,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001331/2023,8,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-000660/2023,2,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001329/2023,3,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001329/2023,9,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
15126437000143-1-001329/2023,2,Não se aplica,False,,False,,,Menor preço,,,,both,True,both
44660272000193-1-000011/2025,1658478,Não se aplica,False,,False,,,Menor preço,,,False,both,True,both
45301652000102-1-000083/2023,8,,,,,,,,,,,left_only,False,both
